,Skeleton_Metabolite,Metabolite,Formula,Ion Type,RT Start (min),RT End (min),m/z Tolerance (ppm),RT Tolerance (min),mz,obs_mz,ppm,winner,RT,RT_min,RT_max,RT_range,detections,S07147,S07148,S07149,S07150,S07151,S07152,S07153,S07154,S07155,S07156,S07157,S07158,S07159,S07160,S07161,S07162,S07163,S07164,S07165,S07166,S07167,S07168,S07169,S07170,S07171,S07172,S07173,S07174,S07175,S07176,S07177,S07178,S07179,S07180,S07181,S07182,S07183,S07184,S07185,S07186,SQ425_B_0,SQ425_B_1,SQ425_B_2,SQ425_B_3,SQ425_B_4,SQ425_B_5,SQ425_B_6,SQ425_B_7
36,PC 36:2; [M+HCOO]-; GPCho(14:1(9Z)/22:1(13Z)),37         PC 36:2; [M+HCOO]-; GPCho(14:1(9Z)/22:1(13Z)),830.5907,,13.8,14.3,15,1.0,830.5907,830.5826,-9.8,S07173,14.05,13.93,14.23,0.3,3,0,0,0,0,0,0,0.0,1535,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,3204,0.0,0,0,5154,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
37,PC 36:2; [M+HCOO]-; GPCho(18:1(11E)/18:1(11E)),38         PC 36:2; [M+HCOO]-; GPCho(18:1(11E)/18:1(11E)),830.5912,,13.8,14.2,15,1.0,830.5912,830.5826,-10.4,S07173,14.05,13.93,14.23,0.3,3,0,0,0,0,0,0,0.0,1535,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,3204,0.0,0,0,5154,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
38,"PC 36:2; [M-Ac-H]-; GPCho(10:0/26:2(5E,9Z))","39         PC 36:2; [M-Ac-H]-; GPCho(10:0/26:2(5E,9Z))",844.6063,,13.8,14.3,15,1.0,844.6063,844.617,12.7,S07169,14.18,14.14,14.19,0.05,38,6393,4983,8568,8231,15141,11264,1587.0,12518,4013,3590,12629,5534,2754,3087,10828,0.0,11312,23302,4401.0,2091,8696,6933,40716,0.0,2880,13312,12438,2813,15339,8362,11023,7095,7579,4625,1940.0,1974.0,1952,1824,1494,1009,0,0,0,0,0,0,0,0
39,PC 36:2; [M-Ac-H]-; GPCho(16:1(7Z)/20:1(11E)),40         PC 36:2; [M-Ac-H]-; GPCho(16:1(7Z)/20:1(11E)),844.6062,,13.8,14.2,15,1.0,844.6062,844.617,12.8,S07169,14.18,14.14,14.19,0.05,38,6393,4983,8568,8231,15141,11264,1587.0,12518,4013,3590,12629,5534,2754,3087,10828,0.0,11312,23302,4401.0,2091,8696,6933,40716,0.0,2880,13312,12438,2813,15339,8362,9579,7095,7579,4625,1940.0,1974.0,1952,1824,1494,1009,0,0,0,0,0,0,0,0
40,"PC 36:2; [M-Ac-H]-; GPCho(18:0/18:2(2E,4E))","41         PC 36:2; [M-Ac-H]-; GPCho(18:0/18:2(2E,4E))",844.6067,,13.7,14.2,15,1.0,844.6067,844.6083,1.9,S07169,14.11,13.97,14.15,0.18,23,1491,0,0,0,7014,5234,0.0,4430,0,0,6274,0,1582,0,3289,0.0,4533,9458,0.0,1590,5827,5363,13702,0.0,2124,5647,7618,2641,6381,0,1577,1396,0,0,0.0,1360.0,1838,0,1494,0,0,0,0,0,0,0,0,0
41,PC 36:2; [M-Ac-H]-; GPCho(18:1(11E)/18:1(11E)),42         PC 36:2; [M-Ac-H]-; GPCho(18:1(11E)/18:1(11E)),844.6065,,13.8,14.3,15,1.0,844.6065,844.617,12.4,S07169,14.18,14.14,14.19,0.05,38,6393,4983,8568,8231,15141,11264,1587.0,12518,4013,3590,12629,5534,2754,3087,10828,0.0,11312,23302,4401.0,2091,8696,6933,40716,0.0,2880,13312,12438,2813,15339,8362,11023,7095,7579,4625,1940.0,1974.0,1952,1824,1494,1009,0,0,0,0,0,0,0,0
42,"PC 36:3; [M-Ac-H]-; GPCho(18:1(11E)/18:2(2E,4E))","43         PC 36:3; [M-Ac-H]-; GPCho(18:1(11E)/18:2(2E,4E))",842.5908,,13.0,13.5,15,1.0,842.5908,842.5921,1.5,S07169,13.07,13.07,13.38,0.31,16,0,0,0,0,865,0,0.0,0,0,0,761,0,0,0,924,0.0,1787,7131,877.0,0,1172,1475,13318,0.0,864,1694,2375,0,4865,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,908,0,745,0,790
43,"PC 38:3; [M-Ac-H]-; GPCho(16:1(7Z)/22:2(13Z,16Z))","44         PC 38:3; [M-Ac-H]-; GPCho(16:1(7Z)/22:2(13Z,16Z))",870.6216,,14.0,14.5,15,1.0,870.6216,870.612,-11.0,S07164,14.25,14.04,14.46,0.43,48,5202,6149,6127,4958,5566,5590,5527.0,6370,5060,5658,5133,6845,7410,5171,5377,7173.0,4242,7908,5454.0,4784,6174,5845,7582,6411.0,5164,5402,5099,5866,6689,5018,5281,5700,5598,5952,6266.0,5102.0,5655,5489,6566,4345,6157,5150,5219,4928,5138,5333,5198,5448
44,"PC 38:4; [M-Ac-H]-; GPCho(14:0/24:4(5Z,8Z,11Z,14Z))","45         PC 38:4; [M-Ac-H]-; GPCho(14:0/24:4(5Z,8Z,11Z,14Z))",868.6062,,13.7,14.2,15,1.0,868.6062,868.6145,9.6,S07169,14.08,13.81,14.15,0.34,48,6540,6101,7501,6057,7740,7262,7375.0,8097,6218,7392,5887,7457,6903,6650,5010,6008.0,5222,10192,6004.0,7466,8911,7379,11841,8620.0,6159,8889,6741,8762,6505,6982,8710,6957,7124,5982,6087.0,6416.0,7441,6240,9429,7396,7282,6276,7535,6731,5629,6244,5967,6912
45,"PC 38:4; [M-Ac-H]-; GPCho(18:0/20:4(5E,8E,11E,14E))","46         PC 38:4; [M-Ac-H]-; GPCho(18:0/20:4(5E,8E,11E,14E))",868.6063,,13.7,14.2,15,1.0,868.6063,868.6145,9.4,S07169,14.08,13.81,14.15,0.34,48,6540,6101,7501,6057,7740,7262,7375.0,8097,6218,7392,5887,7457,6903,6650,5010,6008.0,5222,10192,6004.0,7466,8911,7379,11841,8620.0,6159,8889,6741,8762,6505,6982,8710,6957,7124,5982,6087.0,6416.0,7441,6240,9429,7396,7282,6276,7535,6731,5629,6244,5967,6912
