Metabolite	Formula	Ion Type	RT Start (min)	RT End (min)	m/z Tolerance (ppm)	RT Tolerance (min)	mz	obs_mz	ppm	winner	RT	RT_min	RT_max	RT_range	detections	S03916	S03917	S03918	S03919	S03920	SQ290_B_0	SQ290_B_1	SQ290_B_2	SQ290_B_3	SQ290_B_4	SQ290_B_5
Guanosine diphosphate	C10H15N5O11P2	[M-H]-	13.8	15.8	10	0.2	442.0171	442.0165	-1.3	S03920	13.86	13.86	13.86	0	1	0	0	0	0	6442	0	0	0	0	0	0
Guanosine monophosphate	C10H14N5O8P	[M+H]+	12.6	14.6	10	0.2	364.0653	364.0677	6.8	S03917	14.24	14.2	14.24	0.04	5	8720	13326	9731	10844	4372	0	0	0	0	0	0
Guanosine triphosphate	C10H16N5O14P3	[M-H]-	15	17	10	0.2	521.9834	521.9793	-7.8	S03919	15.32	15.32	15.32	0	1	0	0	0	1193	0	0	0	0	0	0	0
Homocysteine	C4H9NO2S	[M-H]-	7.3	9.3	10	0.2	134.0281	134.029	6.5	SQ290_B_2	8.13	8.13	8.13	0	1	0	0	0	0	0	0	0	1007	0	0	0
Hypotaurine	C2H7NO2S	[M+H]+	10	12	10	0.2	108.0125	108.0115	-9.4	S03919	11.2	10.99	11.26	0.27	6	25352	50702	44815	53282	2301	0	0	0	0	0	891
Hypoxanthine	C5H4N4O	[M+H]+	5.8	7.8	10	0.2	137.0458	137.0456	-1.3	S03919	6.89	6.73	6.92	0.19	11	1192781	1037800	1520918	2750088	1419914	6095	5764	6947	4449	6214	5878
Inosine	C10H12N4O5	[M+H]+	6.4	8.4	10	0.2	269.088	269.0857	-8.7	S03918	7.49	7.49	7.49	0	1	0	0	4186	0	0	0	0	0	0	0	0
Inosinic acid	C10H13N4O8P	[M+H]+	11.4	13.4	10	0.2	349.0544	349.051	-9.6	S03916	11.78	11.78	11.78	0	1	10506	0	0	0	0	0	0	0	0	0	0
L-Acetylcarnitine	C9H17NO4	[M+H]+	6.3	8.3	10	0.2	204.123	204.1229	-0.8	S03918	6.73	6.5	6.93	0.44	11	10951	8344	20498	13386	10362	12317	11475	10334	12313	9777	11219
L-Alanine	C3H7NO2	[M+H]+	10.6	11.2	10	0.2	90.055	90.0554	4.7	S03919	10.92	10.92	10.98	0.06	11	14409643	16903434	17289340	19583376	922548	159848	111621	111857	145267	150424	117745
L-Arginine	C6H14N4O2	[M+H]+	18	20	10	0.2	175.119	175.1186	-2	S03919	19.32	19.25	19.45	0.2	11	11890771	13896126	11575445	16057875	8000496	44396	36462	939991	102493	1092382	82417
L-Asparagine	C4H8N2O3	[M+H]+	10.3	12.3	10	0.2	133.0608	133.0605	-2.2	S03920	11.59	11.48	11.6	0.13	11	1516044	1968576	1889390	1711150	3578391	7667	10274	13906	6064	8092	7183
L-Aspartic acid	C4H7NO4	[M-H]-	10.8	12.8	10	0.2	132.0302	132.0292	-8.1	S03919	11.95	11.93	12.04	0.11	11	70654976	86847960	85148688	87298768	18093004	16684	8404	131030	12019	547981	14845
L-Carnitine	C7H15NO3	[Cat]+	8.3	10.3	10	0.2	162.1125	162.1122	-1.8	S03918	9.49	9.44	9.53	0.09	11	232494	340037	401468	377019	137110	11260	16224	11016	16368	12042	9935
L-Cystathionine	C7H14N2O4S	[M+H]+	12.2	14.2	10	0.2	223.0747	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L-Cysteine	C3H7NO2S	[M+H]+	13	17	10	0.2	122.027	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L-Cystine	C6H12N2O4S2	[M-H]-	11.7	13.7	10	0.2	239.0166	239.0155	-4.3	S03919	12.93	12.93	12.93	0	1	0	0	0	1529	0	0	0	0	0	0	0
L-Glutamic acid	C5H9NO4	[M+H]+	10	13	10	0.2	148.0604	148.0601	-2	S03919	11.66	11.62	11.66	0.05	11	241292096	290875232	295959936	348503456	77124648	140306	91221	369611	132245	1083922	116401
L-Glutamine	C5H10N2O3	[M+H]+	10.1	12.1	10	0.2	147.0764	147.076	-2.6	S03920	11.31	11.27	11.33	0.06	11	11787524	9020225	26586360	32133266	122045360	189640	130643	423396	154887	193412	137541
L-Histidine	C6H9N3O2	[M+H]+	9.9	11.9	10	0.2	156.0768	156.0769	0.8	S03919	11.87	11.63	11.91	0.29	11	34558	32796	30846	66543	27408	5805	4478	5712	4644	8675	4542
L-Isoleucine	C6H13NO2	[M+H]+	6	7.5	10	0.2	132.1019	132.1017	-1.3	S03919	7.26	7.24	7.31	0.07	11	8637998	9048526	10833665	12057914	11484661	118547	87881	101051	97901	103039	102019
L-Kynurenine	C10H12N2O3	[M+H]+	6	8	10	0.2	209.0921	209.0923	0.9	S03918	7.31	7.14	7.34	0.2	6	8406	3958	10602	9768	6145	1053	0	0	0	0	0
L-Lactic acid	C3H6O3	[M-H]-	6.2	8.2	20	0.2	89.0244	89.0233	-12.9	S03918	7.08	7.04	7.1	0.05	11	1193088	1214928	1382710	1300914	607417	1027772	876924	997984	995648	987061	924718
L-Leucine	C6H13NO2	[M+H]+	7.5	9	10	0.2	132.1019	132.1017	-1.4	S03920	7.67	7.63	7.7	0.07	11	7592996	7515306	8838094	10290720	13273055	117848	101358	110328	123447	118181	107590
L-Lysine	C6H14N2O2	[M+H]+	17	18.5	10	0.2	147.1128	147.1125	-1.8	S03919	18.38	18.37	18.5	0.13	11	889912	1096509	978458	1191122	338874	7491	6717	20402	8795	36050	8278
L-Malic acid	C4H6O5	[M-H]-	12.2	14.2	10	0.2	133.0142	133.0132	-7.9	S03919	13.19	13.12	13.19	0.07	11	35097784	43576812	35954848	48514312	1561131	163773	69837	356568	75539	964074	105613
L-Methionine	C5H11NO2S	[M+H]+	6.8	8.8	10	0.2	150.0583	150.058	-2.1	S03918	7.97	7.93	7.98	0.05	11	6346820	5991948	7939082	7837052	5327708	7138	6575	6572	6584	6305	4558
L-Phenylalanine	C9H11NO2	[M+H]+	5.6	7.6	10	0.2	166.0863	166.0858	-2.5	S03919	6.76	6.73	6.78	0.05	11	6015312	6470798	7825926	8052295	4440367	24406	23822	25139	24291	27038	29677
L-Proline	C5H9NO2	[M+H]+	7.9	9.9	10	0.2	116.0706	116.0706	0.4	S03919	9.05	9.03	9.07	0.04	11	161598832	190748464	198457712	205749072	55781608	587991	443200	513699	515158	606015	527442
L-Serine	C3H7NO3	[M+H]+	10.8	12.8	10	0.2	106.0499	106.0501	2	S03920	12.02	11.99	12.05	0.06	11	1767650	2423960	2302741	2549354	3962253	106826	119275	132508	137066	141390	119112
L-Threonine	C4H9NO3	[M-H]-	9.5	11.5	10	0.2	118.051	118.0498	-9.5	S03918	10.75	10.7	10.83	0.14	11	1428454	1584291	2349356	1277567	1159564	8055	6876	8451	6210	7769	5994
L-Tryptophan	C11H12N2O2	[M+H]+	6.8	8.8	10	0.2	205.0972	205.0967	-2.4	S03919	8.03	8.02	8.17	0.14	11	785223	919069	1085370	1214895	434902	5478	4001	6479	5128	4825	4988
L-Tyrosine	C9H11NO3	[M+H]+	8.2	10.2	10	0.2	182.0812	182.081	-1.1	S03919	9.41	9.31	9.43	0.11	11	3220278	3547654	3863856	3885636	2253855	16850	13943	18081	16094	17519	17120
L-Valine	C5H11NO2	[M+H]+	8.3	9.2	10	0.2	118.0863	118.0862	-0.3	S03919	8.82	8.78	8.85	0.07	11	5645066	6662233	6696494	7742862	1175633	215456	183268	178841	188847	189860	181984
L-Valine_13C-5	123.103		8.3	9.2	10	0.2	123.103	123.1031	0.4	S03920	8.8	8.76	8.82	0.06	5	486110	565080	3868	12574	684122	0	0	0	0	0	0
N6-Acetyl-L-lysine	C8H16N2O3	[M+H]+	1.9	3.9	10	0.2	189.1234	189.1218	-8.2	S03920	2.97	2.97	3.02	0.05	11	76270	87550	117138	221822	269975	43896	48897	40738	41284	48945	46544
