,Metabolite,Formula,Polarity (z),mz,ppm,RT,RT_range,Detection,np OLFR2 A,np OLFR2 B,np OLFR2 C,np GPI1 A,np GPI1 B,NP GPI1 C,p OLFR2 A,p OLFR2 B,p GPI1 A,p GPI1 B,np_vs_p_ttest_pval,np_vs_p_Log2FoldChange,np_vs_p_impact_score,p_vs_np_ttest_pval,p_vs_np_Log2FoldChange,p_vs_np_impact_score
413,Adenylsuccinic acid-13C-5,C14H18N5O11P-13C-5,-,467.0835,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
414,Adenylsuccinic acid-13C-6,C14H18N5O11P-13C-6,-,468.0869,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
415,Adenylsuccinic acid-13C-7,C14H18N5O11P-13C-7,-,469.0903,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
416,Adenylsuccinic acid-13C-8,C14H18N5O11P-13C-8,-,470.0936,-0.0,15.5,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
417,Adenylsuccinic acid-13C-9,C14H18N5O11P-13C-9,-,471.097,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
418,Adenylsuccinic acid-13C-10,C14H18N5O11P-13C-10,-,472.1003,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
419,Adenylsuccinic acid-13C-11,C14H18N5O11P-13C-11,-,473.1037,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
420,Adenylsuccinic acid-13C-12,C14H18N5O11P-13C-12,-,474.107,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
421,Adenylsuccinic acid-13C-13,C14H18N5O11P-13C-13,-,475.1104,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
422,Adenylsuccinic acid-13C-14,C14H18N5O11P-13C-14,-,476.1137,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
423,S-Adenosylhomocysteine-13C-0,C14H20N6O5S-13C-0,-,383.1143,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
424,S-Adenosylhomocysteine-13C-1,C14H20N6O5S-13C-1,-,384.1177,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
425,S-Adenosylhomocysteine-13C-2,C14H20N6O5S-13C-2,-,385.121,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
426,S-Adenosylhomocysteine-13C-3,C14H20N6O5S-13C-3,-,386.1244,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
427,S-Adenosylhomocysteine-13C-4,C14H20N6O5S-13C-4,-,387.1277,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
428,S-Adenosylhomocysteine-13C-5,C14H20N6O5S-13C-5,-,388.1311,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
429,S-Adenosylhomocysteine-13C-6,C14H20N6O5S-13C-6,-,389.1344,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
430,S-Adenosylhomocysteine-13C-7,C14H20N6O5S-13C-7,-,390.1378,10.0,9.63,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
431,S-Adenosylhomocysteine-13C-8,C14H20N6O5S-13C-8,-,391.1412,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
432,S-Adenosylhomocysteine-13C-9,C14H20N6O5S-13C-9,-,392.1445,3.8,9.49,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
433,S-Adenosylhomocysteine-13C-10,C14H20N6O5S-13C-10,-,393.1479,-0.4,9.47,0.09,10,44768,35236,25131,22924,25242,40868,49679,35657,42922,45022,0.0702210481882406,-0.4207547627306553,1.0,0.0702210481882406,0.4207547627306553,1.0
434,S-Adenosylhomocysteine-13C-11,C14H20N6O5S-13C-11,-,394.1512,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
435,S-Adenosylhomocysteine-13C-12,C14H20N6O5S-13C-12,-,395.1546,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
436,S-Adenosylhomocysteine-13C-13,C14H20N6O5S-13C-13,-,396.1579,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
437,S-Adenosylhomocysteine-13C-14,C14H20N6O5S-13C-14,-,397.1613,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
438,S-Adenosylmethionine-13C-0,C15H22N6O5S-13C-0,+,399.1445,-7.8,12.36,0.13,4,-,-,-,-,-,-,11339,18410,19351,32373,0.017272314312484195,-1.0263220321065607,2.0,0.017272314312484195,1.0263220321065607,2.0
439,S-Adenosylmethionine-13C-1,C15H22N6O5S-13C-1,+,400.1479,-0.7,12.36,0.04,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
440,S-Adenosylmethionine-13C-2,C15H22N6O5S-13C-2,+,401.1512,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
