,Metabolite,Formula,Polarity (z),Labeling,Ion Mode,RT Start (min),RT End (min),m/z Tolerance (ppm),RT Tolerance (min),mz,obs_mz,ppm,winner,is_global_winner,RT,RT_min,RT_max,RT_range,np OLFR2 A,np OLFR2 B,np OLFR2 C,np GPI1 A,np GPI1 B,NP GPI1 C,p OLFR2 A,p OLFR2 B,p GPI1 A,p GPI1 B,Blank_0,Blank_1,Blank_2,Blank_3,Blank_4,Blank_5,ttest_pval,1/pvalue,np_Mean,p_Mean,Log2FoldChange,LogFoldChange,blank_threshold,combined_mean,impact_score,Detection
71,Fructose 6-phosphate-13C-1,C6H13O9P-13C-1,-,13C,ESI,12.6,13.5,10.0,0.2,260.0258,0.0,0.0,NA,No,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
72,Fructose 6-phosphate-13C-2,C6H13O9P-13C-2,-,13C,ESI,12.6,13.5,10.0,0.2,261.0292,0.0,0.0,NA,No,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
73,Fructose 6-phosphate-13C-3,C6H13O9P-13C-3,-,13C,ESI,12.6,13.5,10.0,0.2,262.0325,0.0,0.0,NA,No,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
74,Fructose 6-phosphate-13C-4,C6H13O9P-13C-4,-,13C,ESI,12.6,13.5,10.0,0.2,263.0359,263.0367,3.2,S04435,Yes,13.41,13.34,13.46,0.12,62912.0,52715.0,10000.0,44253.0,58548.0,43650.0,47415.0,10000.0,70019.0,82814.0,0,0,0,0,0,0,0.6618441619565898,1.510929698380553,45346.333333333336,52562.0,-0.21303427133442734,0.8627208502974266,10000.0,48954.16666666667,0.0,8
75,Fructose 6-phosphate-13C-5,C6H13O9P-13C-5,-,13C,ESI,12.6,13.5,10.0,0.2,264.0392,264.0375,-6.5,S04433,No,13.24,13.24,13.42,0.18,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
76,Fructose 6-phosphate-13C-6,C6H13O9P-13C-6,-,13C,ESI,12.6,13.5,10.0,0.2,265.0426,265.0417,-3.3,S04433,No,13.24,13.17,13.46,0.29,17380.5,17380.5,47759.0,17380.5,22233.0,17380.5,18564.0,65639.0,17453.0,25354.0,0,0,4945,4036,5780,0,0.4603957301276034,2.1720444707922026,23252.333333333332,31752.5,-0.449494689892427,0.7322992940188436,17380.5,27502.416666666664,0.0,6
77,Glucose 6-phosphate-13C-0,C6H13O9P-13C-0,-,13C,ESI,13.6,14.4,10.0,0.2,259.0224,0.0,0.0,NA,No,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
78,Glucose 6-phosphate-13C-1,C6H13O9P-13C-1,-,13C,ESI,13.6,14.4,10.0,0.2,260.0258,0.0,0.0,NA,No,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
79,Glucose 6-phosphate-13C-2,C6H13O9P-13C-2,-,13C,ESI,13.6,14.4,10.0,0.2,261.0292,0.0,0.0,NA,No,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
80,Glucose 6-phosphate-13C-3,C6H13O9P-13C-3,-,13C,ESI,13.6,14.4,10.0,0.2,262.0325,0.0,0.0,NA,No,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
81,Glucose 6-phosphate-13C-4,C6H13O9P-13C-4,-,13C,ESI,13.6,14.4,10.0,0.2,263.0359,0.0,0.0,NA,No,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
82,Glucose 6-phosphate-13C-5,C6H13O9P-13C-5,-,13C,ESI,13.6,14.4,10.0,0.2,264.0392,264.0391,-0.4,S04435,No,13.99,13.96,14.01,0.05,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,12487.0,0,0,0,0,0,0,0.24150397191306,4.140718647724743,10000.0,10621.75,-0.08702147879072002,0.9414644479487844,10000.0,10310.875,0.0,1
83,Glucose 6-phosphate-13C-6,C6H13O9P-13C-6,-,13C,ESI,13.6,14.4,10.0,0.2,265.0426,265.0416,-3.7,S04435,Yes,13.99,13.92,14.03,0.1,40957.5,40957.5,70054.0,79993.0,136258.0,79120.0,43632.0,91189.0,90233.0,306541.0,4499,0,19448,10121,17810,10037,0.27602091488775,3.6229138665331653,74556.66666666667,132898.75,-0.8339182696896393,0.561003520850773,40957.5,103727.70833333334,1.0,8
