Metabolite,np OLFR2 A,np OLFR2 B,np OLFR2 C,np GPI1 A,np GPI1 B,NP GPI1 C,p OLFR2 A,p OLFR2 B,p GPI1 A,p GPI1 B
Thymidine-13C-8,0,0,0,0,0,0,0,0,0,0
Thymidine-13C-9,0,0,0,0,0,0,0,0,0,0
Thymidine-13C-10,0,0,0,0,0,0,0,0,0,0
Adenosine monophosphate-13C-0,0,0,0,0,0,0,0,0,0,55823
Adenosine monophosphate-13C-1,0,0,0,0,0,0,0,0,0,0
Adenosine monophosphate-13C-2,0,0,0,0,0,0,0,0,0,0
Adenosine monophosphate-13C-3,0,0,0,0,0,0,0,0,0,0
Adenosine monophosphate-13C-4,0,0,0,0,0,0,0,0,0,0
Adenosine monophosphate-13C-5,0,0,0,0,0,0,52511,0,98219,173674
Adenosine monophosphate-13C-6,0,0,0,0,0,0,67859,78243,51299,121383
Adenosine monophosphate-13C-7,0,0,0,0,0,0,0,22635,35865,76458
Adenosine monophosphate-13C-8,0,10463,0,0,0,0,52984,0,39356,62734
Adenosine monophosphate-13C-9,0,0,0,0,0,0,0,11328,11908,10393
Adenosine monophosphate-13C-10,0,0,0,0,0,0,0,0,0,0
Guanosine monophosphate-13C-0,0,0,0,0,0,0,0,0,0,0
Guanosine monophosphate-13C-1,0,0,0,0,0,0,0,0,0,0
Guanosine monophosphate-13C-2,0,0,0,0,0,0,0,0,0,0
Guanosine monophosphate-13C-3,0,0,0,0,0,0,0,0,0,0
Guanosine monophosphate-13C-4,0,0,0,0,0,0,0,0,0,0
Guanosine monophosphate-13C-5,0,0,0,0,0,0,0,0,0,0
Guanosine monophosphate-13C-6,0,0,0,0,0,0,0,0,0,0
Guanosine monophosphate-13C-7,0,0,0,0,0,0,0,0,0,0
Guanosine monophosphate-13C-8,0,0,0,0,0,0,0,0,0,0
Guanosine monophosphate-13C-9,0,0,0,0,0,0,0,0,0,0
Guanosine monophosphate-13C-10,0,0,0,0,0,0,0,0,0,0
ADP-13C-0,0,0,0,0,0,0,0,0,0,0
ADP-13C-1,0,0,0,0,0,0,0,0,0,0
ADP-13C-2,0,0,0,0,0,0,0,0,0,0
ADP-13C-3,0,0,0,0,0,0,0,0,0,0
ADP-13C-4,0,0,0,0,0,0,0,0,0,0
ADP-13C-5,0,0,0,0,0,0,0,0,0,11321
ADP-13C-6,0,0,0,0,0,0,0,0,0,0
ADP-13C-7,0,0,0,0,0,0,0,0,0,0
ADP-13C-8,0,0,0,0,0,0,0,0,0,0
ADP-13C-9,0,0,0,0,0,0,0,0,0,0
ADP-13C-10,0,0,0,0,0,0,0,0,0,0
Guanosine diphosphate-13C-0,0,0,0,0,0,0,0,0,0,0
Guanosine diphosphate-13C-1,0,0,0,0,0,0,0,0,0,0
Guanosine diphosphate-13C-2,0,0,0,0,0,0,0,0,0,0
Guanosine diphosphate-13C-3,0,0,0,0,0,0,0,0,0,0
Guanosine diphosphate-13C-4,0,0,0,0,0,0,0,0,0,0
Guanosine diphosphate-13C-5,0,0,0,0,0,0,0,0,0,0
Guanosine diphosphate-13C-6,0,0,0,0,0,0,0,0,0,0
Guanosine diphosphate-13C-7,0,0,0,0,0,0,0,0,0,0
Guanosine diphosphate-13C-8,0,0,0,0,0,0,0,0,0,0
Guanosine diphosphate-13C-9,0,0,0,0,0,0,0,0,0,0
Guanosine diphosphate-13C-10,0,0,0,0,0,0,0,0,0,0
dTDP-13C-0,0,0,0,0,0,0,0,0,0,0
dTDP-13C-1,0,0,0,0,0,0,0,0,0,0
dTDP-13C-2,0,0,0,0,0,0,0,0,0,0
dTDP-13C-3,0,0,0,0,0,0,0,0,0,0
dTDP-13C-4,0,0,0,0,0,0,0,0,0,0
dTDP-13C-5,0,0,0,0,0,0,0,0,0,0
dTDP-13C-6,0,0,0,0,0,0,0,0,0,0
dTDP-13C-7,0,0,0,0,0,0,0,0,0,0
dTDP-13C-8,0,0,0,0,0,0,0,0,0,0
dTDP-13C-9,0,0,0,0,0,0,0,0,0,0
dTDP-13C-10,0,0,0,0,0,0,0,0,0,0
Adenosine triphosphate-13C-0,0,0,0,0,0,0,0,0,0,0
Adenosine triphosphate-13C-1,0,0,0,0,0,0,0,0,0,0
Adenosine triphosphate-13C-2,0,0,0,0,0,0,0,0,0,0
Adenosine triphosphate-13C-3,0,0,0,0,0,0,0,0,0,0
Adenosine triphosphate-13C-4,0,0,0,0,0,0,0,0,0,0
