,Metabolite,Formula,Ion Type,RT Start (min),RT End (min),m/z Tolerance (ppm),RT Tolerance (min),mz,obs_mz,ppm,winner,RT,RT_min,RT_max,RT_range,T10,T11,T12,T1,T2,T3,SQ437_B_0,SQ437_B_1,SQ437_B_2,SQ437_B_3,SQ437_B_4,SQ437_B_5,ttest_pval,1/pvalue,SG1 minus Dox_Mean,Tom plus Dox_Mean,Log2FoldChange,LogFoldChange,blank_threshold,combined_mean,impact_score,Detection
36,Cytidine monophosphate,C9H14N3O8P,[M+H]+,11.8,13.8,15,0.2,324.0591,324.0568,-7.2,S07377,12.55,12.49,12.58,0.09,57199.0,71906.0,87406.0,28290.0,39399.0,59625.0,2421,0,3386,0,4464,0,0.07858705241637243,12.724742425784951,72170.33333333333,42438.0,0.7660492510219407,1.7006063747898894,15135.5,57304.166666666664,1.0,6
37,Cytidine triphosphate,C9H16N3O14P3,[M-H]-,15.0,20.0,15,0.2,481.9772,481.9758,-3.0,S07377,16.01,16.01,16.26,0.25,19410.5,25898.0,45674.0,19410.5,19410.5,19410.5,0,0,6347,0,10475,1999,0.23908889274360998,4.182544778742034,30327.5,19410.5,0.6437892952774393,1.5624275520980913,19410.5,24869.0,0.0,2
38,Cytosine,C4H5N3O,[M+H]+,9.0,11.0,15,0.2,112.0505,112.0506,0.5,S07372,9.46,9.3,9.69,0.39,63704.0,63704.0,63704.0,63704.0,63704.0,63704.0,15031,20593,21890,12642,21568,15684,NA,NA,63704.0,63704.0,0.0,1.0,63704.0,63704.0,0.0,0
39,D-2-Hydroxyglutaric acid,C5H8O5,[M-H]-,11.6,13.6,15,0.2,147.0299,147.0287,-8.2,S07375,12.49,12.39,12.51,0.12,11284824.0,10853773.0,10390342.0,4289720.0,5644170.0,6074790.0,120866,31243,146370,26647,440326,31345,0.0007657824149546808,1305.853961218449,10842979.666666666,5336226.666666667,1.0228694116508028,2.0319563511794847,408398.5,8089603.166666666,21465.0,6
40,D-Glucose,C6H12O6,[M-H]-,9.0,11.0,15,0.2,179.0561,179.055,-6.2,S07371,11.02,10.79,11.03,0.24,1922864.0,2256011.0,2971726.0,2071761.0,2206194.0,2758822.0,80552,14368,70116,13938,150197,13168,0.9240936583573712,1.08214139438805,2383533.6666666665,2345592.3333333335,0.023149710084218827,1.0161755872041986,181169.5,2364563.0,3.0,6
41,D-Glyceraldehyde 3-phosphate,C3H7O6P,[M-H]-,13.0,14.0,15,0.2,168.9908,168.9898,-5.6,S07377,13.46,13.36,13.5,0.14,310232.0,379480.0,553096.0,172724.5,172724.5,177175.0,22965,5762,87834,30998,145307,32583,0.02930559389137339,34.12317811086461,414269.3333333333,174208.0,1.2497581503814081,2.3780155522899826,172724.5,294238.6666666666,24.0,4
42,Dihydrofolic acid,C19H21N7O6,[M+H]+,13.0,16.0,15,0.2,444.1626,444.162,-1.4,S07371,14.95,14.75,15.2,0.45,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
43,Dihydroxyacetone phosphate,C3H7O6P,[M-H]-,12.0,13.0,15,0.2,168.9908,168.9897,-6.2,S07377,12.56,12.49,12.56,0.07,1791602.0,2494593.0,2730365.0,630052.0,812032.0,1045853.0,26406,2347,96241,9628,144349,14093,0.007906954250084175,126.47094802519622,2338853.3333333335,829312.3333333334,1.4958139418441987,2.8202321843358575,156532.0,1584082.8333333335,565.0,6
44,D-Ribose 5-phosphate,C5H11O8P,[M-H]-,12.4,13.8,15,0.2,229.0119,229.0111,-3.4,S07377,12.88,12.72,12.95,0.23,212883.0,291000.0,344837.0,84221.0,117989.0,124949.0,8960,0,25078,6862,31708,7063,0.012525853096531816,79.8348816877696,282906.6666666667,109053.0,1.3752967156660878,2.5942125999896075,49835.5,195979.83333333334,41.0,6
45,D-Sedoheptulose 7-phosphate,C7H15O10P,[M-H]-,12.2,14.2,15,0.2,289.033,289.0322,-2.8,S07372,13.49,13.34,13.52,0.19,155211.0,233039.0,219087.0,106189.0,126817.0,159427.0,14699,2313,32436,8124,29695,8868,0.06602081113227248,15.146739078932296,202445.66666666666,130811.0,0.6300508992735012,1.547619593663122,58067.5,166628.3333333333,4.0,6
46,dTDP,C10H16N2O11P2,[M-H]-,11.0,13.0,15,0.2,401.0157,401.0153,-0.9,S07372,12.03,11.91,12.27,0.36,14491.5,14491.5,14491.5,14491.5,14491.5,14491.5,0,0,3171,1890,2636,1286,NA,NA,14491.5,14491.5,0.0,1.0,14491.5,14491.5,0.0,0
47,FAD,C27H33N9O15P2,[M+H]+,7.6,9.6,15,0.2,786.1644,786.1618,-3.3,S07376,8.94,8.74,9.03,0.28,21966.0,33863.0,31756.0,13975.0,11070.0,15154.0,0,0,0,0,2140,0,0.01496278071562321,66.83249718121324,29195.0,13399.666666666666,1.1235241988300626,2.178785541928904,11070.0,21297.333333333332,3.0,5
48,Folic acid,C19H19N7O6,[M+H]+,13.0,16.0,15,0.2,442.147,442.1427,-9.6,S07377,14.15,14.1,14.19,0.09,14529.0,20255.0,32408.0,13351.5,13981.0,18250.0,1468,0,0,0,5235,0,0.2598190804725751,3.8488320341259685,22397.333333333332,15194.166666666666,0.5598094211082857,1.474074480337849,13351.5,18795.75,0.0,5
49,"Fructose 1,6-bisphosphate",C6H14O12P2,[M-H]-,14.1,16.1,15,0.2,338.9888,338.98800000000006,-2.3,S07377,15.88,15.65,16.09,0.44,107896.0,164016.0,342331.0,79099.0,79099.0,79099.0,9799,1243,42512,2408,71315,10921,0.15005555333020773,6.66419854385149,204747.66666666666,79099.0,1.3721156499834204,2.5884988010805023,79099.0,141923.3333333333,2.0,3
50,Fructose 6-phosphate,C6H13O9P,[M-H]-,12.6,13.5,15,0.2,259.0224,259.0219,-2.1,S07377,13.11,13.03,13.15,0.11,823360.0,1114590.0,1321259.0,607085.0,810958.0,824157.0,56547,14914,150921,31135,173843,35610,0.1023989178362406,9.765728204269012,1086403.0,747400.0,0.5396068997365453,1.4535763981803587,241485.0,916901.5,13.0,6
51,Fumaric acid,C4H4O4,[M-H]-,12.2,14.2,15,0.2,115.0037,115.0023,-12.0,S07372,13.29,13.22,13.32,0.1,5179850.0,6072126.0,6601622.0,4239730.0,5085760.0,5145508.0,221901,52502,409013,62272,415041,54157,0.09047840561689782,11.052360982510939,5951199.333333333,4823666.0,0.30305042548508154,1.2337502914449991,617443.0,5387432.666666666,73.0,6
52,Glucose 6-phosphate,C6H13O9P,[M-H]-,13.6,14.4,15,0.2,259.0224,259.022,-1.7,S07372,14.02,13.93,14.05,0.12,1073545.0,1207325.0,1430320.0,748167.0,1056216.0,1231560.0,210873,61960,281482,55783,287176,55669,0.26887073087548974,3.7192594253150073,1237063.3333333333,1011981.0,0.2897371595592612,1.2224175486825675,486471.5,1124522.1666666665,5.0,6
53,Glutathione,C10H17N3O6S,[M+H]+,10.0,13.0,15,0.2,308.0911,308.0898,-4.2,S07376,11.49,11.42,11.56,0.14,72834608.0,88092040.0,84400256.0,27138308.0,16880522.0,2012267.0,78501,25380,255689,111139,742720,317138,0.001526236981449156,655.2062439546603,81775634.66666667,15343699.0,2.414024727065108,5.329590646079975,775283.5,48559666.833333336,169569.0,6
54,Glycerol 3-phosphate,C3H9O6P,[M-H]-,11.5,13.0,15,0.2,171.0064,171.0053,-6.4,S07377,12.16,12.08,12.2,0.12,7610448.0,9646653.0,10459811.0,1957600.0,2681632.0,3556278.0,218336,40578,1100034,155288,1346744,166631,0.002523532068802318,396.26997903561625,9238970.666666666,2731836.6666666665,1.7578608977277348,3.381963050499603,1523805.5,5985403.666666666,8021.0,6
55,Glycine,C2H5NO2,[M+H]+,10.7,12.7,15,0.2,76.0393,76.0398,6.5,S07375,12.06,11.99,12.09,0.1,31660872.0,31170146.0,30589832.0,26015710.5,26015710.5,26015710.5,9367796,7818770,9372741,7572957,9764687,8114470,7.796749905603964e-05,12825.857082849914,31140283.333333332,26015710.5,0.2593989625368188,1.1969799300054993,26015710.5,28577996.916666664,438738.0,3
56,Guanidoacetic acid,C3H7N3O2,[M+H]+,10.7,12.7,15,0.2,118.0611,118.061,-0.9,S07377,12.15,12.07,12.15,0.08,250638256.0,242718336.0,252117056.0,81145176.0,86720456.0,91866688.0,5086456,8271,10885688,27557,18569598,31927,2.8463410843674146e-06,351328.238731531,248491216.0,86577440.0,1.5211318069915822,2.8701612798900036,17314748.5,167534328.0,168936374.0,6
