,Metabolite,Formula,Ion Type,RT Start (min),RT End (min),m/z Tolerance (ppm),RT Tolerance (min),mz,obs_mz,ppm,winner,RT,RT_min,RT_max,RT_range,T4,T5,T6,T7,T8,T9,SQ437_B_0,SQ437_B_1,SQ437_B_2,SQ437_B_3,SQ437_B_4,SQ437_B_5,ttest_pval,1/pvalue,Tom minus Dox_Mean,SG1 plus Dox_Mean,Log2FoldChange,LogFoldChange,blank_threshold,combined_mean,impact_score,Detection
59,Guanosine diphosphate,C10H15N5O11P2,[M-H]-,13.8,15.8,15,0.2,442.0171,442.0167,-0.8,S07377,15.44,15.28,15.52,0.24,27276.5,27276.5,27276.5,27276.5,27276.5,27276.5,1661,1230,8327,2244,15356,5735,NA,NA,27276.5,27276.5,0.0,1.0,27276.5,27276.5,0.0,0
60,Guanosine monophosphate,C10H14N5O8P,[M+H]+,12.6,14.6,15,0.2,364.0653,364.06300000000005,-6.3,SQ437_B_0,13.81,13.78,13.93,0.14,70849.0,70849.0,70849.0,70849.0,70849.0,70849.0,71888,24110,8437,7448,7137,2678,NA,NA,70849.0,70849.0,0.0,1.0,70849.0,70849.0,0.0,0
61,Guanosine triphosphate,C10H16N5O14P3,[M-H]-,15.0,17.0,15,0.2,521.9834,521.9832,-0.4,S07377,16.99,16.91,16.99,0.08,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
62,Homocysteine,C4H9NO2S,[M-H]-,7.3,9.3,15,0.2,134.0281,134.0299,13.2,S07377,7.31,7.26,7.5,0.24,13124.5,13124.5,13124.5,21242.0,21548.0,13124.5,1432,0,1800,1538,0,1479,0.11625262758148273,8.601956108898175,13124.5,18638.166666666668,-0.5059974951213875,0.7041733360756154,13124.5,15881.333333333334,0.0,2
63,Hypotaurine,C2H7NO2S,[M+H]+,10.0,12.0,15,0.2,110.027,110.027,-0.2,S07376,11.44,11.28,11.45,0.18,2888307.0,2761540.0,2869088.0,2636384.0,2429232.0,2362514.0,29289,0,43388,0,44811,0,0.01642711792516137,60.874951075154996,2839645.0,2476043.3333333335,0.19767401814116384,1.1468478607671109,68744.0,2657844.166666667,186.0,6
64,Hypoxanthine,C5H4N4O,[M+H]+,5.8,7.8,15,0.2,137.0458,137.0455,-2.1,S07377,7.77,7.54,7.77,0.23,143645.0,110414.0,127260.0,43816.0,57253.0,30169.0,3061,2247,2518,2414,2860,1864,0.002531296695307684,395.05444061682704,127106.33333333333,43746.0,1.5388129048876928,2.905553269632271,17482.0,85426.16666666666,98.0,6
65,Inosine,C10H12N4O5,[M+H]+,6.4,8.4,15,0.2,269.08799999999997,269.0862,-6.9,S07370,7.84,7.64,7.97,0.33,71759.0,90389.0,82399.0,22853.0,23764.0,23228.0,0,0,0,0,0,0,0.0004200842876951232,2380.474655423798,81515.66666666667,23281.666666666668,1.8078830202963783,3.5012814088338464,10000.0,52398.66666666667,437.0,6
66,Inosinic acid,C10H13N4O8P,[M+H]+,11.4,13.4,15,0.2,349.0544,349.0515,-8.3,S07370,12.62,12.59,12.8,0.21,10999.0,10999.0,10999.0,10999.0,10999.0,10999.0,0,0,1998,0,0,0,NA,NA,10999.0,10999.0,0.0,1.0,10999.0,10999.0,0.0,0
67,L-Acetylcarnitine,C9H17NO4,[M+H]+,6.3,8.3,15,0.2,204.123,204.1224,-3.1,S07377,7.79,7.56,7.92,0.36,3091527.0,3467962.0,3442797.0,2663893.0,1919473.0,2235348.0,16322,15263,10794,10643,11906,10072,0.012783884377327373,78.2234859518545,3334095.3333333335,2272904.6666666665,0.5527581826622485,1.466887451211475,47500.0,2803500.0,322.0,6
68,L-Alanine,C3H7NO2,[M+H]+,10.6,11.2,15,0.2,90.055,90.0552,2.7,S07372,11.19,11.09,11.2,0.11,235641888.0,236370800.0,247588784.0,389069248.0,350296384.0,357618624.0,12573427,165430,20016368,252924,8759799,239814,0.0005494047090354105,1820.1518544602563,239867157.33333334,365661418.6666667,-0.6082727773742724,0.6559815859380939,21013881.0,302764288.0,840080.0,6
