,Metabolite,Formula,Ion Type,RT Start (min),RT End (min),m/z Tolerance (ppm),RT Tolerance (min),mz,obs_mz,ppm,winner,RT,RT_min,RT_max,RT_range,T10,T11,T12,T4,T5,T6,SQ437_B_0,SQ437_B_1,SQ437_B_2,SQ437_B_3,SQ437_B_4,SQ437_B_5,ttest_pval,1/pvalue,SG1 minus Dox_Mean,Tom minus Dox_Mean,Log2FoldChange,LogFoldChange,blank_threshold,combined_mean,impact_score,Detection
71,L-Aspartic acid,C4H7NO4,[M-H]-,10.8,12.8,15,0.2,132.0302,132.0289,-10.1,S07368,12.04,11.89,12.04,0.15,16921226.0,16049938.0,16952522.0,31159864.0,32585218.0,32827854.0,2050897,58553,2155555,48794,1441148,30860,1.3038128434728054e-05,76698.12465847655,16641228.666666666,32190978.666666668,-0.9518944826753455,0.5169531761983502,2902903.5,24416103.666666668,3622513.0,6
72,L-Carnitine,C7H16NO3,[Cat]+,8.3,10.3,15,0.2,162.1125,162.1119,-3.5,S07377,9.85,9.81,9.94,0.13,6762066.0,7732668.0,8292106.0,3217380.0,3084554.0,3235466.0,18933,10879,19847,12473,29672,9162,0.0006016312092243632,1662.147815252508,7595613.333333333,3179133.3333333335,1.2565329400989012,2.3892087990437645,60483.0,5387373.333333333,21394.0,6
73,L-Cystathionine,C7H14N2O4S,[M+H]+,12.2,14.2,15,0.2,223.0747,223.074,-3.2,S07372,13.54,13.48,13.58,0.1,313716.0,345737.0,569491.0,600827.0,798477.0,841267.0,27810,2958,74298,9223,25808,6098,0.03679333658482784,27.178834343943723,409648.0,746857.0,-0.8664472667500476,0.548495896804877,83097.5,578252.5,29.0,6
74,L-Cysteine,C3H7NO2S,[M+H]+,13.0,17.0,15,0.2,122.027,122.0272,1.4,S07377,13.93,13.68,14.15,0.47,12307.0,12307.0,12307.0,12307.0,12307.0,12307.0,0,0,1637,1488,1489,0,NA,NA,12307.0,12307.0,0.0,1.0,12307.0,12307.0,0.0,0
75,L-Cystine,C6H12N2O4S2,[M-H]-,11.7,13.7,15,0.2,239.0166,239.0155,-4.5,S07369,12.87,12.76,12.96,0.2,12258.0,12258.0,12258.0,12258.0,12258.0,12258.0,2179,1333,1004,0,0,0,NA,NA,12258.0,12258.0,0.0,1.0,12258.0,12258.0,0.0,0
76,L-Glutamic acid,C5H9NO4,[M+H]+,10.0,13.0,15,0.2,148.0604,148.06,-2.9,S07372,11.76,11.63,11.76,0.13,206534608.0,238447920.0,235452352.0,314105536.0,299959040.0,312207488.0,24334398,515793,28711926,911899,20163582,702864,0.0017941731212424482,557.3598155943331,226811626.66666666,308757354.6666667,-0.4449789057643124,0.7345950573761446,37680231.0,267784490.6666667,203176.0,6
77,L-Glutamine,C5H10N2O3,[M+H]+,10.1,12.1,15,0.2,147.0764,147.0759,-3.5,S07372,11.52,11.39,11.53,0.13,478204192.0,488798880.0,525671616.0,636709120.0,647699136.0,678570880.0,66526572,362584,65308548,681199,33077860,468432,0.0011954137181404683,836.530470434583,497558229.3333333,654326378.6666666,-0.3951450586083545,0.7604129155654968,83222597.5,575942304.0,633594.0,6
78,L-Histidine,C6H9N3O2,[M+H]+,9.9,11.9,15,0.2,156.0768,156.0763,-2.9,S07368,11.09,10.89,11.23,0.33,18971692.0,20938256.0,28800668.0,37055480.0,33522778.0,41844588.0,5855880,161179,7290897,198567,6363190,178183,0.019377225368893875,51.606975764718776,22903538.666666668,37474282.0,-0.710330320346872,0.6111801866321727,10033948.0,30188910.333333336,2549.0,6
79,L-Isoleucine,C6H13NO2,[M+H]+,6.0,7.5,15,0.2,132.1019,132.1016,-2.3,S07372,7.44,7.34,7.45,0.11,72785896.0,86594416.0,118888128.0,110128208.0,94138392.0,99042888.0,710669,59987,785074,72298,667359,67452,0.5946074382745825,1.6817818540948224,92756146.66666667,101103162.66666667,-0.12431333471721025,0.9174406044297566,1191419.5,96929654.66666667,178.0,6
80,L-Kynurenine,C10H12N2O3,[M+H]+,6.0,8.0,15,0.2,209.0921,209.092,-0.3,S07373,7.57,7.35,7.78,0.43,32277.0,47025.0,45297.0,31469.0,41696.0,56314.0,3045,2862,0,0,2742,0,0.8588881243367943,1.16429599113641,41533.0,43159.666666666664,-0.055425638690077474,0.9623104905042517,14324.5,42346.33333333333,0.0,6
81,L-Lactic acid,C3H6O3,[M-H]-,6.2,8.2,15,0.2,89.0244,89.0231,-14.8,S07377,7.14,7.01,7.38,0.38,316057504.0,236070208.0,395542144.0,61504944.0,163279328.0,87367824.0,1659393,1391950,1936330,1446236,2208754,1492008,0.018546087965592872,53.91972699877316,315889952.0,104050698.66666667,1.6021353954486903,3.035923410874678,5077335.5,209970325.33333334,34371.0,6
82,L-Leucine,C6H13NO2,[M+H]+,7.5,9.0,15,0.2,132.1019,132.1016,-2.3,S07372,8.0,7.9,8.02,0.13,172246336.0,195013904.0,238851616.0,218016240.0,220654608.0,237501776.0,1125797,80604,1358586,100706,1189948,100401,0.317716639158586,3.147458699828614,202037285.33333334,225390874.66666666,-0.1578075444349919,0.8963862695511909,1988021.0,213714080.0,750.0,6
83,L-Lysine,C6H14N2O2,[M+H]+,18.0,20.0,15,0.2,147.1128,147.1124,-2.7,S07377,19.34,19.3,19.46,0.15,15386250.0,16705621.0,22644988.0,13481232.0,16300823.0,20394152.0,3190135,590053,4491736,610717,5004466,628951,0.6391957129710703,1.5644660621265143,18245619.666666668,16725402.333333334,0.125509233630221,1.0908927213250694,7268029.0,17485511.0,30.0,6
84,L-Malic acid,C4H6O5,[M-H]-,12.2,14.2,15,0.2,133.0142,133.0129,-10.1,S07372,13.29,13.22,13.31,0.09,92442880.0,106503664.0,116092320.0,77578624.0,88225304.0,98922752.0,12388034,3686052,16458926,4001143,16590238,3810155,0.14326383425606662,6.980128691883411,105012954.66666667,88242226.66666667,0.2510262125681986,1.1900533183886113,28477274.0,96627590.66666667,803.0,6
85,L-Methionine,C5H11NO2S,[M+H]+,6.8,8.8,15,0.2,150.0583,150.058,-2.2,S07372,8.2,8.11,8.23,0.12,58831972.0,68457600.0,83741976.0,96850640.0,93422864.0,106741728.0,348408,3700,374887,9436,230527,10014,0.025772484066175345,38.80107161701316,70343849.33333333,99005077.33333333,-0.49307822982060434,0.7105074934338721,498486.0,84674463.33333333,4624.0,6
86,L-Phenylalanine,C9H11NO2,[M+H]+,5.6,7.6,15,0.2,166.0863,166.0857,-3.3,S07372,7.01,6.93,7.07,0.14,108729296.0,128312280.0,155710832.0,140582544.0,136497248.0,154454752.0,180917,19836,253574,20417,263594,22892,0.4279307022296034,2.336826955368714,130917469.33333333,143844848.0,-0.13585592978890126,0.9101297067888962,390615.0,137381158.66666666,353.0,6
87,L-Proline,C5H9NO2,[M+H]+,7.9,9.9,15,0.2,116.0706,116.0705,-0.9,S07377,9.37,9.29,9.42,0.12,908398592.0,1009704512.0,1013778688.0,508435520.0,508636576.0,523604064.0,5993912,861220,20363586,557996,24822176,743682,0.0001839989212547813,5434.814471631118,977293930.6666666,513558720.0,0.9282632891683897,1.902983811990704,26681286.0,745426325.3333333,7709470.0,6
88,L-Serine,C3H7NO3,[M+H]+,10.8,12.8,15,0.2,106.0499,106.0499,0.3,S07372,12.16,12.05,12.18,0.13,12389244.0,12678024.0,14598318.0,14165899.0,13741362.0,16687934.0,1048373,34931,1027462,39067,809711,41699,0.2267986661323938,4.409197007429707,13221862.0,14865065.0,-0.16900040959075405,0.8894587410145869,1510621.5,14043463.5,70.0,6
89,L-Threonine,C4H9NO3,[M-H]-,9.5,11.5,15,0.2,118.051,118.0496,-11.6,S07372,10.96,10.81,10.99,0.17,11941145.0,11522207.0,11926950.0,15250660.0,16679571.0,16044608.0,1628055,21283,1965762,34862,1071751,21403,0.0006499756251253198,1538.5192326361364,11796767.333333334,15991613.0,-0.4389238919255549,0.7376846434023469,2381558.0,13894190.166666668,28978.0,6
90,L-Tryptophan,C11H12N2O2,[M+H]+,6.8,8.8,15,0.2,205.0972,205.0965,-3.2,S07372,8.25,8.14,8.4,0.26,12913110.0,15109340.0,19527720.0,16939132.0,16726902.0,20154076.0,28308,3181,31088,3515,33000,2328,0.40340757579159586,2.4788825495845654,15850056.666666666,17940036.666666668,-0.1786948406505191,0.8835019103454079,60710.0,16895046.666666668,47.0,6
91,L-Tyrosine,C9H11NO3,[M+H]+,8.2,10.2,15,0.2,182.0812,182.0807,-2.6,S07368,9.61,9.44,9.62,0.18,30703378.0,34126464.0,41386860.0,52554140.0,48337616.0,57981244.0,399216,6595,584645,6569,468180,8353,0.01402353666919153,71.30868792869573,35405567.333333336,52957666.666666664,-0.5808633237844649,0.6685635822323492,746779.0,44181617.0,4712.0,6
92,L-Valine,C5H11NO2,[M+H]+,8.3,9.2,15,0.2,118.0863,118.0862,-0.5,S07372,9.11,9.02,9.15,0.13,122912560.0,133112544.0,159471696.0,148039488.0,138931456.0,160457712.0,1360599,88297,1661692,98481,1553454,106888,0.44420760205575904,2.251199653882725,138498933.33333334,149142885.33333334,-0.10682029220790668,0.9286325192367652,2444705.5,143820909.33333334,349.0,6
93,N6-Acetyl-L-lysine,C8H16N2O3,[M+H]+,1.9,3.9,15,0.2,189.1234,189.1214,-10.4,S07368,3.21,3.15,3.23,0.09,772773.0,390792.0,517586.0,909120.0,2562450.0,809231.0,110938,113421,110284,119871,131434,136152,0.20913592514234883,4.7815792495686615,560383.6666666666,1426933.6666666667,-1.3484314586480846,0.39271879258110803,371050.0,993658.6666666667,12.0,6
94,N-Acetylglutamic acid,C7H11NO5,[M+H]+,10.3,12.3,15,0.2,190.071,190.0704,-3.2,S07374,11.73,11.56,11.85,0.29,417142.0,240276.0,278064.0,153661.0,153661.0,159210.0,71077,9551,146248,10547,43498,6401,0.04389179835901293,22.78329978235343,311827.3333333333,155510.66666666666,1.0037338535482558,2.0051829242152737,153661.0,233669.0,11.0,4
95,N-Acetylglutamine,C7H12N2O4,[M-H]-,6.8,8.8,15,0.2,187.0724,187.0713,-6.0,S07372,8.03,7.86,8.08,0.22,130938.0,184768.0,164710.0,209157.0,233193.0,232259.0,0,0,0,0,1115,1108,0.02110272370891202,47.387247911400365,160138.66666666666,224869.66666666666,-0.48976736553075473,0.7121399210505641,11111.5,192504.16666666666,13.0,6
96,N-Acetyl-L-alanine,C5H9NO3,[M+H]+,6.0,7.0,15,0.2,132.0655,132.0652,-2.4,S07377,6.5,6.3,6.74,0.44,5521002.0,6415137.0,6683578.0,3406511.0,3241805.0,3490239.0,18990,12468,15557,12736,14263,12436,0.0014046757327244043,711.9080772189853,6206572.333333333,3379518.3333333335,0.8769790990912166,1.8365257179154226,53225.0,4793045.333333333,6267.0,6
97,N-Acetyl-L-methionine,C7H13NO3S,[M+H]+,3.0,5.0,15,0.2,192.0689,192.0683,-3.1,S07372,4.17,4.1,4.35,0.26,1646464.0,1846171.0,2051593.0,1160448.0,1003276.0,1158116.0,0,0,0,0,1074,0,0.004428949324096959,225.78718491070003,1848076.0,1107280.0,0.7390040018555292,1.6690231919658984,10537.0,1477678.0,557.0,6
98,N-Acetyl-L-phenylalanine,C11H13NO3,[M+H]+,2.8,4.0,15,0.2,208.0968,208.0963,-2.5,S07372,3.55,3.47,3.57,0.1,108046.0,108046.0,108046.0,108046.0,108046.0,108046.0,25543,32400,45742,26830,25984,39593,NA,NA,108046.0,108046.0,0.0,1.0,108046.0,108046.0,0.0,0
99,N-Acetylornithine,C7H14N2O3,[M+H]+,8.6,10.6,15,0.2,175.1077,175.1074,-1.8,S07372,10.06,9.83,10.18,0.34,25996.0,25996.0,25996.0,25996.0,25996.0,25996.0,7504,3934,7094,3537,6488,3435,NA,NA,25996.0,25996.0,0.0,1.0,25996.0,25996.0,0.0,0
100,N-Acetylserine,C5H9NO4,[M-H]-,7.5,8.5,15,0.2,146.0459,146.0447,-8.1,S07377,8.16,8.02,8.31,0.29,18346462.0,20928362.0,21099732.0,10132806.0,10447740.0,11096042.0,7705,6330,9764,4363,16653,4925,0.0005136100657292279,1947.0023403458645,20124852.0,10558862.666666666,0.9305237283972535,1.9059677765799776,34870.0,15341857.333333332,56932.0,6
101,NAD,C21H28N7O14P2,[Cat]+,9.9,11.9,15,0.2,664.1164,664.1161,-0.5,S07377,11.17,10.96,11.17,0.21,1677456.0,1771359.0,2165475.0,1066309.0,1291548.0,1444292.0,56879,0,130929,2804,136260,3015,0.031178007630317844,32.073890412021996,1871430.0,1267383.0,0.5622885166540716,1.4766096752126232,174943.5,1569406.5,74.0,6
102,NADH,C21H29N7O14P2,[M-H]-,9.5,11.5,15,0.2,664.1175,664.1166,-1.4,S07377,10.69,10.57,10.75,0.18,256932.0,338639.0,394991.0,202926.0,182648.0,242450.0,5880,0,6190,1361,7893,0,0.050752746221403,19.703367294404433,330187.3333333333,209341.33333333334,0.6574275843727904,1.577267747729386,20662.0,269764.3333333333,8.0,6
103,NADP,C21H29N7O17P3,[Cat]+,12.7,14.7,15,0.2,744.0827,744.0787,-5.4,S07377,14.06,13.99,14.23,0.24,39059.5,52854.0,62214.0,39059.5,39059.5,39059.5,5949,2543,14678,2557,23165,9227,0.14098817390826113,7.092793475364004,51375.833333333336,39059.5,0.39541640855589666,1.3153223500898203,39059.5,45217.66666666667,0.0,2
104,NADPH,C21H30N7O17P3,[M-H]-,13.0,15.0,15,0.2,744.0838,744.0817,-2.9,S07372,14.53,14.38,14.58,0.2,51605.0,64955.0,50515.0,47938.0,42403.0,51923.0,1550,1341,2267,0,2410,0,0.2004590385239153,4.988550316132027,55691.666666666664,47421.333333333336,0.23192524108070217,1.174401113422932,13784.0,51556.5,0.0,6
105,Niacinamide,C6H6N2O,[M+H]+,3.3,5.3,15,0.2,123.0553,123.055,-2.4,S07377,4.71,4.63,4.72,0.09,68977624.0,74057824.0,95535392.0,58206400.0,59507060.0,70677856.0,920869,424387,2308319,1247729,2797572,1613132,0.1382904216335924,7.231158804689681,79523613.33333333,62797105.333333336,0.3406852516288697,1.2663579461380268,4666004.0,71160359.33333333,652.0,6
106,Nicotinic acid,C6H5NO2,[M-H]-,5.5,7.5,15,0.2,122.0248,122.0238,-7.8,SQ437_B_0,6.55,6.31,6.77,0.46,35814.0,35814.0,35814.0,35814.0,35814.0,35814.0,16348,8343,6983,6571,6773,6610,NA,NA,35814.0,35814.0,0.0,1.0,35814.0,35814.0,0.0,0
107,O-Phosphoethanolamine,C2H8NO4P,[M+H]+,11.4,13.4,15,0.2,142.0264,142.0264,0.2,S07376,11.89,11.89,12.08,0.18,10000.0,49295.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,0.373900966300059,2.67450498963806,23098.333333333332,10000.0,1.207788757334791,2.309833333333333,10000.0,16549.166666666664,0.0,1
108,Ornithine,C5H12N2O2,[M+H]+,17.0,19.0,15,0.2,133.0972,133.0969,-1.9,S07377,17.69,17.61,17.76,0.15,8346386.0,9437711.0,11089386.0,7476945.0,8384546.0,9838633.0,2088713,410728,2630924,425096,2802726,371080,0.37195593778825725,2.6884904861211503,9624494.333333334,8566708.0,0.16796982969620247,1.1234764081293926,4374633.5,9095601.166666668,27.0,6
109,Orotic acid,C5H4N2O4,[M-H]-,6.7,8.7,15,0.2,155.0098,155.0087,-7.3,S07377,7.71,7.58,7.91,0.33,91172.0,106284.0,125221.0,95784.0,89650.0,111055.0,0,1702,1288,1281,0,0,0.49799347137521566,2.0080584535345145,107559.0,98829.66666666667,0.12211216752727418,1.0883270542920647,12135.5,103194.33333333334,0.0,6
110,Orotidylic acid,C10H13N2O11P,[M+H]+,0.0,30.0,15,0.2,369.033,369.0314,-4.3,S07366,7.96,7.96,7.96,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
111,Oxidized glutathione,C20H32N6O12S2,[M+H]+,13.5,15.5,15,0.2,613.1592,613.1575,-2.8,S07369,14.77,14.74,14.83,0.09,2422165.0,4233552.0,4325590.0,14841559.0,11513949.0,13288829.0,59327,21297,171453,72172,399834,170109,0.0011227260808926813,890.6892046231778,3660435.6666666665,13214779.0,-1.8520650239411012,0.276995602171377,457096.0,8437607.333333334,27131.0,6
112,Oxoadipic acid,C6H8O5,[M-H]-,7.5,9.5,15,0.2,159.0299,159.0289,-6.3,SQ437_B_0,7.54,7.54,7.75,0.21,17371.5,17371.5,17371.5,17371.5,17371.5,17371.5,7155,2100,2445,1309,0,1734,NA,NA,17371.5,17371.5,0.0,1.0,17371.5,17371.5,0.0,0
113,Oxoglutaric acid,C5H6O5,[M-H]-,10.8,14.8,15,0.2,145.0142,145.013,-8.6,S07377,12.86,12.65,12.87,0.22,46812628.0,55266652.0,57191312.0,20030276.0,19767914.0,22893260.0,117273,12636,193222,11538,531539,14242,0.000648737531586654,1541.4554443215943,53090197.333333336,20897150.0,1.3451393061399397,2.5405472676098575,450225.0,36993673.66666667,144872.0,6
114,Palmitic acid,C16H32O2,[M-H]-,1.6,3.6,15,0.2,255.233,255.2323,-2.6,S07376,2.85,2.82,2.91,0.09,8641989.0,20015370.0,11993933.0,6131006.0,5652634.0,11513757.0,690596,596810,576132,648189,641113,575955,0.20854530851080982,4.795121056142894,13550430.666666666,7765799.0,0.8031324328033497,1.7448855767019809,1874397.5,10658114.833333332,89.0,6
115,Pantothenic acid,C9H17NO5,[M+H]+,5.1,7.1,15,0.2,220.118,220.1173,-3.0,S07371,6.21,5.97,6.42,0.45,18408720.0,21262786.0,25429028.0,36315540.0,36309940.0,38994168.0,11008,3132,7082,6076,11004,3115,0.0022313662407810633,448.15592426009005,21700178.0,37206549.333333336,-0.7778497193297296,0.5832354353957467,30708.5,29453363.666666668,22632.0,6
116,Phenol,C6H6O,[M-H]-,2.1,4.1,15,0.2,93.0346,93.0333,-13.9,SQ437_B_0,3.42,3.39,3.65,0.26,2609088.5,2609088.5,2609088.5,2609088.5,2609088.5,2609088.5,1187998,1000370,763503,742166,767343,736797,NA,NA,2609088.5,2609088.5,0.0,1.0,2609088.5,2609088.5,0.0,0
117,Phosphocreatine,C4H10N3O5P,[M-H]-,11.2,13.2,15,0.2,210.0285,210.0277,-4.0,S07377,12.39,12.35,12.43,0.08,8071146.0,9909884.0,9931316.0,3161008.0,3813594.0,3899783.0,130181,16548,757102,75572,1074766,104537,0.0009974421953087315,1002.564363833111,9304115.333333334,3624795.0,1.3599695745666418,2.5667976625804587,1089353.0,6464455.166666667,16635.0,6
118,Phosphoenolpyruvic acid,C3H5O6P,[M-H]-,13.6,15.6,15,0.2,166.9751,166.97400000000002,-6.6,S07371,14.81,14.81,15.05,0.24,133178.0,285201.0,424212.0,250002.0,397324.0,560698.0,5922,2575,43831,11299,59758,14789,0.377866696677921,2.646435922487134,280863.6666666667,402674.6666666667,-0.519744706013162,0.6974952484387728,79087.0,341769.1666666667,1.0,6
119,Phosphoribosyl pyrophosphate,C5H13O14P3,[M-H]-,15.0,18.0,15,0.2,388.9445,388.9388,-14.8,S07376,15.62,15.62,15.64,0.01,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
120,Phosphorylcholine,C5H14NO4P,[M+H]+,10.0,13.0,15,0.2,184.0733,184.0728,-2.8,S07377,11.9,11.84,11.96,0.12,1187464960.0,1288749312.0,1335585920.0,1156918528.0,1247692032.0,1284890496.0,193673248,6522238,216868608,10933922,257509584,13457748,0.5203702097282266,1.9217087782989526,1270600064.0,1229833685.3333333,0.04704676880900935,1.0331478793863234,349492674.0,1250216874.6666665,2482.0,6
121,Phosphoserine,C3H8NO6P,[M+H]+,11.5,13.5,15,0.2,186.0162,186.0162,0.0,S07372,13.45,13.4,13.46,0.05,14298.5,14298.5,14298.5,14298.5,14298.5,14298.5,2212,0,3613,0,1234,1538,NA,NA,14298.5,14298.5,0.0,1.0,14298.5,14298.5,0.0,0
122,Pipecolic acid,C6H11NO2,[M+H]+,7.5,9.5,15,0.2,130.0863,130.0862,-0.4,S07374,8.25,8.0,8.49,0.48,146858.0,146858.0,146858.0,146858.0,146858.0,146858.0,62140,49600,38110,43910,41408,38548,NA,NA,146858.0,146858.0,0.0,1.0,146858.0,146858.0,0.0,0
123,Propionylcarnitine,C10H19NO4,[M+H]+,5.2,7.2,15,0.2,218.1387,218.138,-3.1,S07377,6.7,6.52,6.93,0.42,627837.0,655552.0,680953.0,345168.0,244371.0,296154.0,13877,13731,8938,10107,10217,8000,0.00039794915747786585,2512.883822490868,654780.6666666666,295231.0,1.1491675088396496,2.217858784025616,42435.0,475005.8333333333,2647.0,6
124,Pyruvic acid,C3H4O3,[M-H]-,5.5,7.5,15,0.2,87.0088,87.0075,-14.6,S07377,6.12,5.89,6.12,0.24,4607059.0,224830.0,6288242.0,224830.0,2764807.0,224830.0,99527,45448,100784,44454,85124,54323,0.2571913792499694,3.8881552053425565,3706710.3333333335,1071489.0,1.790522338648698,3.4594012008833817,224830.0,2389099.666666667,32.0,3
125,Ribose 1-phosphate,C5H11O8P,[M-H]-,11.0,12.4,15,0.2,229.0119,229.0112,-3.0,S07377,12.19,12.15,12.29,0.13,19929.0,22060.0,31110.0,17041.5,17041.5,17041.5,0,0,2978,0,9236,1869,0.09941304131597319,10.059042423031928,24366.333333333332,17041.5,0.5158368416340082,1.4298232745552524,17041.5,20703.916666666664,0.0,3
126,Saccharopine,C11H20N2O6,[M-H]-,11.0,14.0,15,0.2,275.1249,275.1277,10.3,S07374,12.07,11.87,12.15,0.27,11399.0,11399.0,11399.0,11399.0,11399.0,11399.0,1489,0,0,0,0,1309,NA,NA,11399.0,11399.0,0.0,1.0,11399.0,11399.0,0.0,0
127,S-Adenosylhomocysteine,C14H20N6O5S,[M-H]-,8.6,10.6,15,0.2,383.1143,383.1129,-3.7,S07376,10.07,9.95,10.13,0.17,63270.0,68843.0,59261.0,48551.0,58645.0,55326.0,1783,0,4509,0,1992,0,0.07727106473532316,12.941454908448632,63791.333333333336,54174.0,0.23575981549512062,1.1775267348420522,14142.0,58982.66666666667,1.0,6
128,S-Adenosylmethionine,C15H22N6O5S,[M+H]+,10.7,12.7,15,0.2,399.1445,399.1436,-2.3,S07367,12.43,12.36,12.55,0.19,8405008.0,6971153.0,6993604.0,11944248.0,10598215.0,11599370.0,746075,19414,1116119,22121,917881,23666,0.003243096530834969,308.3472818314599,7456588.333333333,11380611.0,-0.6099904149690226,0.655201054963862,1432638.0,9418599.666666666,4433.0,6
129,Sarcosine,C3H7NO2,[M+H]+,11.2,12.0,15,0.2,90.055,90.0552,2.7,S07372,11.22,11.2,11.24,0.04,169318496.0,172016272.0,186569552.0,221713072.0,217545776.0,218047424.0,8515756,113419,13660977,190919,5661834,167371,0.001443881552020631,692.5775861604134,175968106.66666666,219102090.66666666,-0.31628927921019495,0.8031329419598174,14165138.0,197535098.66666666,170343.0,6
130,Succinic acid,C4H6O4,[M-H]-,11.3,13.3,15,0.2,117.0193,117.01799999999999,-11.4,S07376,12.48,12.42,12.49,0.08,4392034.0,5202090.0,4890784.0,4977397.0,4123929.0,4022294.0,292283,243417,280941,173409,348675,157831,0.302678078729458,3.303840186239016,4828302.666666667,4374540.0,0.14238479572371765,1.1037280872198372,758278.0,4601421.333333334,17.0,6
131,Taurine,C2H7NO3S,[M-H]-,10.2,12.2,15,0.2,124.0074,124.006,-11.2,S07372,11.47,11.3,11.52,0.22,24667492.0,27244308.0,27884162.0,35536868.0,32572986.0,35685884.0,91562,2173,75900,1418,166872,1708,0.004786993289725488,208.89939456283327,26598654.0,34598579.333333336,-0.379359558635785,0.7687787912833184,179816.5,30598616.666666668,8315.0,6
132,Thymidine,C10H14N2O5,[M-H]-,3.5,5.5,15,0.2,241.083,241.0835,2.1,S07370,3.51,3.51,3.7,0.2,12456.0,12456.0,12456.0,12456.0,100691.0,12456.0,1755,1876,0,0,0,1281,0.373900966300059,2.67450498963806,12456.0,41867.666666666664,-1.7489956677310832,0.29750881746455105,12456.0,27161.833333333332,0.0,1
133,Uracil,C4H4N2O2,[M+H]+,5.4,7.4,15,0.2,113.0346,113.0343,-2.3,S07369,6.77,6.56,7.0,0.44,16478.5,16478.5,16478.5,16478.5,16478.5,16478.5,2544,1506,2183,2311,2455,1958,NA,NA,16478.5,16478.5,0.0,1.0,16478.5,16478.5,0.0,0
134,Ureidopropionic acid,C4H8N2O3,[M-H]-,10.4,12.4,15,0.2,131.0462,131.0449,-10.0,S07374,11.65,11.54,11.82,0.28,80993.0,79707.0,149412.0,128487.0,170294.0,147051.0,38495,2523,64270,1916,21145,2315,0.15692040340490115,6.372657591375824,103370.66666666667,148610.66666666666,-0.5237108179506482,0.6955803979974521,75332.0,125990.66666666666,1.0,6
135,Ureidosuccinic acid,C5H8N2O5,[M-H]-,12.8,14.8,15,0.2,175.03599999999997,175.035,-6.0,S07372,13.95,13.87,14.03,0.16,1066633.0,1924227.0,2862772.0,744687.0,971326.0,1349616.0,14284,0,24546,1349,22020,0,0.16507386416728506,6.057894173886938,1951210.6666666667,1021876.3333333334,0.9331489370118955,1.909439139569726,41099.5,1486543.5,17.0,6
136,Uric acid,C5H4N4O3,[M+H]+,8.8,10.8,15,0.2,169.0356,0.0,0.0,NA,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
137,Uridine,C9H12N2O6,[M-H]-,5.5,7.5,15,0.2,243.0623,243.0613,-4.0,S07366,6.88,6.66,7.1,0.44,23114.0,37644.0,43220.0,44416.0,41464.0,37595.0,2265,1591,2047,1322,1473,1250,0.36122851464192973,2.768330736545693,34659.333333333336,41158.333333333336,-0.24794065812319593,0.8420975906053857,14974.0,37908.833333333336,0.0,6
138,Uridine 5'-diphosphate,C9H14N2O12P2,[M+H]+,12.4,14.4,15,0.2,405.0095,405.0071,-5.9,S07376,13.6,13.55,13.83,0.28,66552.0,106802.0,100077.0,71937.0,63134.0,77526.0,2075,0,2180,0,5004,0,0.19748590466789692,5.063652525893707,91143.66666666667,70865.66666666667,0.36305557765642893,1.2861470293560116,14629.5,81004.66666666667,1.0,6
139,Uridine 5'-monophosphate,C9H13N2O9P,[M-H]-,11.2,13.2,15,0.2,323.0286,323.0275,-3.4,S07370,12.34,12.28,12.39,0.1,214435.0,237933.0,293629.0,166377.5,296074.0,196401.0,66498,13085,78034,18575,106136,30427,0.5595176995533854,1.7872535592675862,248665.66666666666,219617.5,0.1792143093955044,1.1322670855768173,166377.5,234141.5833333333,0.0,5
140,Uridine diphosphate glucose,C15H24N2O17P2,[M-H]-,12.4,14.4,15,0.2,565.0478,565.047,-1.3,S07372,13.59,13.47,13.65,0.18,1433267.0,1669762.0,1692870.0,1249152.0,1265356.0,1473294.0,25017,0,30719,0,42827,0,0.07045171944126799,14.194117729570094,1598633.0,1329267.3333333333,0.2662074967371907,1.2026422074115015,59281.5,1463950.1666666665,25.0,6
141,Uridine diphosphate-N-acetylglucosamine,C17H27N3O17P2,[M+H]+,11.2,13.2,15,0.2,608.0889,608.0865,-3.9,S07377,12.44,12.37,12.47,0.09,285752.0,367288.0,417198.0,258916.0,260141.0,245155.0,8492,0,11581,0,18553,0,0.057456815458699205,17.404375651811307,356746.0,254737.33333333334,0.48588684263480214,1.400446472968234,29313.0,305741.6666666667,7.0,6
142,Uridine triphosphate,C9H15N2O15P3,[M-H]-,15.0,18.0,15,0.2,482.9613,482.9603,-2.0,S07377,15.53,15.51,15.78,0.26,112485.0,178370.0,277988.0,70299.5,100279.0,183880.0,5773,0,31041,5882,63333,14570,0.2917664803579875,3.427398509839218,189614.33333333334,118152.83333333333,0.6824137987120719,1.6048225673809489,70299.5,153883.58333333334,1.0,5
