Skeleton_Metabolite	Metabolite	Formula	Ion Type	RT Start (min)	RT End (min)	m/z Tolerance (ppm)	RT Tolerance (min)	mz	obs_mz	ppm	winner	RT	RT_min	RT_max	RT_range	detections	S09190	S09191	S09192	S09193	S09194	S09195	S09196	S09197	S09198	SQ530_Blank_0	SQ530_Blank_1	SQ530_Blank_2	SQ530_Blank_3	SQ530_Blank_4	SQ530_Blank_5	SQ530_ISTD_0	SQ530_ISTD_1	SQ530_ISTD_2
Glycine	56         Glycine	C2H5NO2	[M+H]+	10.7	12.7	15.0	0.2	76.0393	76.0399	7.8	S09195	11.98	11.9	11.99	0.08	18	8711905	11479722	12428598	11388022	10158343	13133003	12438314	11043863	12364159	1164575	33144	1593378	72609	1352918	53186	94475	156006	123967
Guanidoacetic acid	57         Guanidoacetic acid	C3H7N3O2	[M+H]+	10.7	12.7	15.0	0.2	118.0611	118.0615	3.4	S09195	12.01	11.88	12.01	0.14	18	191998	169235	182285	221459	163569	387397	217318	171691	233209	48941	20624	38202	12498	30340	11150	26769	12930	10763
Guanine	58         Guanine	C5H5N5O	[M+H]+	7.7	9.7	15.0	0.2	152.0567	152.0545	-14.4	S09193	7.93	7.76	8.14	0.38	15	0	190258	0	659372	62440	519946	545243	199366	0	94208	15614	117898	11630	15086	16579	17557	16182	19570
Guanosine	59         Guanosine	C10H13N5O5	[M+H]+	7.7	9.7	15.0	0.2	284.0989	284.0972	-6.1	S09196	9.14	8.9	9.29	0.4	18	119719	196161	148589	203083	198038	148931	268149	229712	144249	12461	9156	12895	7631	13116	7747	8008	8307	8850
Guanosine diphosphate	60         Guanosine diphosphate	C10H15N5O11P2	[M-H]-	13.8	15.8	15.0	0.2	442.0171	442.0161	-2.2	S09195	15.4	15.25	15.62	0.36	15	2975	1604	1505	4123	2681	5990	3078	1157	4215	1592	0	2073	1301	1501	0	0	1964	1146
Guanosine monophosphate	61         Guanosine monophosphate	C10H14N5O8P	[M+H]+	12.6	14.6	15.0	0.2	364.0653	364.0627	-7.1	S09193	13.82	13.77	14.03	0.26	18	3461	9985	8511	13863	4840	8532	3372	2489	13025	2473	1327	2176	2151	1769	2038	2264	2615	1941
Guanosine triphosphate	62         Guanosine triphosphate	C10H16N5O14P3	[M-H]-	15.0	17.0	15.0	0.2	521.9834	521.9857	4.4	S09196	16.96	16.88	16.96	0.08	3	0	1091	0	0	0	1295	1420	0	0	0	0	0	0	0	0	0	0	0
Homocysteine	63         Homocysteine	C4H9NO2S	[M-H]-	7.3	9.3	15.0	0.2	134.0281	134.0262	-14.4	SQ530_Blank_1	7.48	7.48	7.48	0.0	1	0	0	0	0	0	0	0	0	0	0	1718	0	0	0	0	0	0	0
Hypotaurine	64         Hypotaurine	C2H7NO2S	[M+H]+	10.0	12.0	15.0	0.2	110.027	110.0274	3.4	S09195	11.25	11.23	11.4	0.16	12	370668	395318	550540	641354	366178	654660	408947	381266	653964	40607	0	29219	0	14895	0	0	0	0
Hypoxanthine	65         Hypoxanthine	C5H4N4O	[M+H]+	5.8	7.8	15.0	0.2	137.0458	137.0457	-0.6	S09195	7.11	6.9	7.28	0.38	18	96359	75232	60480	172525	69375	36108704	119120	81935	71604	34627	20119	24368	22385	20135	20411	32436	22112	30170
