,Skeleton_Metabolite,Metabolite,Formula,Ion Type,RT Start (min),RT End (min),m/z Tolerance (ppm),RT Tolerance (min),mz,obs_mz,ppm,winner,RT,RT_min,RT_max,RT_range,Before dialysis 1_1,Before dialysis 1_2,Before dialysis 2_1,Before dialysis 2_2,After dialysis 1_1,After dialysis 1_2,After dialysis 2_1,After dialysis 2_2,Blank_0,Blank_1,Blank_2,Blank_3,Blank_4,Blank_5,ttest_pval,1/pvalue,Control_Mean,Treatment_Mean,Log2FoldChange,LogFoldChange,blank_threshold,combined_mean,impact_score,Detection
39,D-2-Hydroxyglutaric acid,40         D-2-Hydroxyglutaric acid,C5H8O5,[M-H]-,11.6,13.6,15.0,0.2,147.0299,147.0287,-8.2,S10228,12.15,11.92,12.18,0.26,17652420.0,12300885.0,16597237.0,13254280.0,1980606.0,2013579.0,2352952.0,2464527.0,91160,13892,42197,10536,22389,10977,6.299657760563417e-05,15873.878201132055,14951205.5,2202916.0,2.7627754227032373,6.787006631210632,105575.5,8577060.75,924059.0,8
40,D-Glucose,41         D-Glucose,C6H12O6,[M-H]-,9.0,11.0,15.0,0.2,179.0561,179.0552,-5.1,S10230,9.84,9.63,10.01,0.37,24436516.0,18395368.0,25898896.0,19111416.0,1928242.0,2228942.0,2521775.0,2656109.0,491628,13178,227330,9656,197204,8089,4.6435149759741946e-05,21535.41024792761,21960549.0,2333767.0,3.234181684555232,9.409914957234378,483542.5,12147158.0,2461578.0,8
41,D-Glyceraldehyde 3-phosphate,42         D-Glyceraldehyde 3-phosphate,C3H7O6P,[M-H]-,13.0,14.0,15.0,0.2,168.9908,168.9899,-5.0,S10235,13.15,13.01,13.17,0.16,11938.5,11938.5,11938.5,11938.5,11938.5,11938.5,11938.5,12758.0,0,0,3877,0,0,0,0.35591768374958205,2.8096384238766396,11938.5,12143.375,-0.02454786245952065,0.9831286606894706,11938.5,12040.9375,0.0,1
42,Dihydrofolic acid,43         Dihydrofolic acid,C19H21N7O6,[M+H]+,13.0,16.0,15.0,0.2,444.1626,444.1676,11.2,S10230,13.47,13.47,13.47,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
43,Dihydroxyacetone phosphate,44         Dihydroxyacetone phosphate,C3H7O6P,[M-H]-,12.0,13.0,15.0,0.2,168.9908,168.9895,-7.4,S10234,12.9,12.87,12.99,0.12,13804.5,13804.5,13804.5,13804.5,13804.5,13804.5,13804.5,13804.5,3039,0,3290,0,0,1280,NA,NA,13804.5,13804.5,0.0,1.0,13804.5,13804.5,0.0,0
44,D-Ribose 5-phosphate,45         D-Ribose 5-phosphate,C5H11O8P,[M-H]-,12.4,13.8,15.0,0.2,229.0119,229.0109,-4.3,S10235,12.58,12.41,12.58,0.17,11658.0,11658.0,11658.0,11658.0,11658.0,11658.0,11658.0,11658.0,3316,0,0,0,0,0,NA,NA,11658.0,11658.0,0.0,1.0,11658.0,11658.0,0.0,0
45,D-Sedoheptulose 7-phosphate,46         D-Sedoheptulose 7-phosphate,C7H15O10P,[M-H]-,12.2,14.2,15.0,0.2,289.033,289.032,-3.5,S10228,13.15,13.0,13.33,0.33,10854.5,10854.5,10854.5,10854.5,10854.5,10854.5,10854.5,10854.5,0,0,1709,0,0,0,NA,NA,10854.5,10854.5,0.0,1.0,10854.5,10854.5,0.0,0
46,dTDP,47         dTDP,C10H16N2O11P2,[M-H]-,11.0,13.0,15.0,0.2,401.0157,401.0105,-12.9,SQ567_Blank_3,12.18,12.18,12.18,0.0,11172.0,11172.0,11172.0,11172.0,11172.0,11172.0,11172.0,11172.0,0,0,0,1262,0,1082,NA,NA,11172.0,11172.0,0.0,1.0,11172.0,11172.0,0.0,0
47,FAD,48         FAD,C27H33N9O15P2,[M+H]+,7.6,9.6,15.0,0.2,786.1644,786.1597,-6.0,S10235,8.0,8.0,8.03,0.03,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
48,Folic acid,49         Folic acid,C19H19N7O6,[M+H]+,13.0,16.0,15.0,0.2,442.147,0.0,0.0,NA,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
