,Metabolite,Formula,Ion Type,mz,ppm,RT,RT_range,Detection,Skeleton_Metabolite,Before dialysis 1_1,Before dialysis 1_2,Before dialysis 2_1,Before dialysis 2_2,After dialysis 1_1,After dialysis 1_2,After dialysis 2_1,After dialysis 2_2,Control_vs_Treatment_ttest_pval,Control_vs_Treatment_Log2FoldChange,Control_vs_Treatment_impact_score,Treatment_vs_Control_ttest_pval,Treatment_vs_Control_Log2FoldChange,Treatment_vs_Control_impact_score
45,46         D-Sedoheptulose 7-phosphate,C7H15O10P,[M-H]-,289.033,-3.5,13.15,0.33,0,D-Sedoheptulose 7-phosphate,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
46,47         dTDP,C10H16N2O11P2,[M-H]-,401.0157,-12.9,12.18,0.0,0,dTDP,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
47,48         FAD,C27H33N9O15P2,[M+H]+,786.1644,-6.0,8.0,0.03,0,FAD,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
48,49         Folic acid,C19H19N7O6,[M+H]+,442.147,0.0,0.0,0.0,0,Folic acid,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
49,"50         Fructose 1,6-bisphosphate",C6H14O12P2,[M-H]-,338.9888,4.8,15.96,0.0,0,"Fructose 1,6-bisphosphate",-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
50,51         Fructose 6-phosphate,C6H13O9P,[M-H]-,259.0224,-5.6,12.88,0.17,6,Fructose 6-phosphate,26920,14637,23729,17023,-,-,22757,18854,0.4370006583165551,0.21832004145653114,0.0,0.4370006583165551,-0.21832004145653094,0.0
51,52         Fumaric acid,C4H4O4,[M-H]-,115.0037,-11.2,12.93,0.28,8,Fumaric acid,7397215,5528028,7005761,6111049,238358,397689,623804,481916,8.013980924795946e-06,3.902219636981537,6479460.0,8.013980924795946e-06,-3.902219636981537,6479460.0
52,53         Glucose 6-phosphate,C6H13O9P,[M-H]-,259.0224,-3.3,13.65,0.14,8,Glucose 6-phosphate,43586,20892,33791,30928,20107,19241,20272,22061,0.04504887906357922,0.661500136541978,1.0,0.04504887906357922,-0.6615001365419781,1.0
53,54         Glutathione,C10H17N3O6S,[M+H]+,308.0911,-1.9,11.26,0.42,0,Glutathione,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
54,55         Glycerol 3-phosphate,C3H9O6P,[M-H]-,171.0064,-4.7,11.9,0.38,6,Glycerol 3-phosphate,180543,110626,145451,143252,-,-,59840,61038,0.0009395828970124408,1.3071127761466443,268.0,0.0009395828970124408,-1.307112776146644,268.0
55,56         Glycine,C2H5NO2,[M+H]+,76.0393,7.8,11.8,0.31,7,Glycine,22979668,21048244,23519990,21917264,-,2183883,2457128,2497179,6.560416043111742e-08,3.4404690630247394,2021082859.0,6.560416043111742e-08,-3.4404690630247394,2021082859.0
56,57         Guanidoacetic acid,C3H7N3O2,[M+H]+,118.0611,0.8,11.87,0.31,7,Guanidoacetic acid,20912458,18455360,21516784,19714150,-,1788097,1900482,2005029,2.791773219716413e-07,3.666276654949379,494247899.0,2.791773219716413e-07,-3.666276654949379,494247899.0
57,58         Guanine,C5H5N5O,[M+H]+,152.0567,-15.0,8.35,0.45,6,Guanine,110568,40504,64064,45658,-,78170,64728,-,0.553334613334276,0.29751321735948144,0.0,0.553334613334276,-0.2975132173594815,0.0
58,59         Guanosine,C10H13N5O5,[M+H]+,284.0989,-8.6,9.56,0.25,0,Guanosine,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
59,60         Guanosine diphosphate,C10H15N5O11P2,[M-H]-,442.0171,-8.1,14.8,0.01,0,Guanosine diphosphate,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
60,61         Guanosine monophosphate,C10H14N5O8P,[M+H]+,364.0653,-9.6,12.75,0.25,0,Guanosine monophosphate,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
