,Metabolite,Formula,Ion Type,RT Start (min),RT End (min),m/z Tolerance (ppm),RT Tolerance (min),mz,obs_mz,ppm,winner,RT,RT_min,RT_max,RT_range,T1,T2,T3,T4,T5,T6,SQ437_B_0,SQ437_B_1,SQ437_B_2,SQ437_B_3,SQ437_B_4,SQ437_B_5,ttest_pval,1/pvalue,Tom plus Dox_Mean,Tom minus Dox_Mean,Log2FoldChange,LogFoldChange,blank_threshold,combined_mean,impact_score,Detection
51,Fumaric acid,C4H4O4,[M-H]-,12.2,14.2,15,0.2,115.0037,115.0023,-12.0,S07372,13.29,13.22,13.32,0.1,4239730.0,5085760.0,5145508.0,4619272.0,4718476.0,5153442.0,221901,52502,409013,62272,415041,54157,0.9849478560943388,1.0152821733785464,4823666.0,4830396.666666667,-0.002011650707155603,0.9986066016662537,617443.0,4827031.333333334,5.0,6
52,Glucose 6-phosphate,C6H13O9P,[M-H]-,13.6,14.4,15,0.2,259.0224,259.022,-1.7,S07372,14.02,13.93,14.05,0.12,748167.0,1056216.0,1231560.0,890410.0,1131005.0,1300567.0,210873,61960,281482,55783,287176,55669,0.632956673512014,1.5798869683313628,1011981.0,1107327.3333333333,-0.1298995518202505,0.9138950782996417,486471.5,1059654.1666666665,2.0,6
53,Glutathione,C10H17N3O6S,[M+H]+,10.0,13.0,15,0.2,308.0911,308.0898,-4.2,S07376,11.49,11.42,11.56,0.14,27138308.0,16880522.0,2012267.0,1058536.0,15347832.0,12996323.0,78501,25380,255689,111139,742720,317138,0.5512704879297797,1.8139915375396969,15343699.0,9800897.0,0.6466606250899769,1.565540276568563,775283.5,12572298.0,36.0,6
54,Glycerol 3-phosphate,C3H9O6P,[M-H]-,11.5,13.0,15,0.2,171.0064,171.0053,-6.4,S07377,12.16,12.08,12.2,0.12,1957600.0,2681632.0,3556278.0,2651829.0,3835649.0,3659324.0,218336,40578,1100034,155288,1346744,166631,0.33305353452411685,3.002520304817809,2731836.6666666665,3382267.3333333335,-0.3081194652614664,0.807693892124829,1523805.5,3057052.0,11.0,6
55,Glycine,C2H5NO2,[M+H]+,10.7,12.7,15,0.2,76.0393,76.0398,6.5,S07375,12.06,11.99,12.09,0.1,26015710.5,26015710.5,26015710.5,26015710.5,26015710.5,26015710.5,9367796,7818770,9372741,7572957,9764687,8114470,NA,NA,26015710.5,26015710.5,0.0,1.0,26015710.5,26015710.5,0.0,0
56,Guanidoacetic acid,C3H7N3O2,[M+H]+,10.7,12.7,15,0.2,118.0611,118.061,-0.9,S07377,12.15,12.07,12.15,0.08,81145176.0,86720456.0,91866688.0,84537864.0,81432536.0,89170800.0,5086456,8271,10885688,27557,18569598,31927,0.7096108721406689,1.4092230534508583,86577440.0,85047066.66666667,0.025729665093052207,1.017994428183296,17314748.5,85812253.33333334,123.0,6
57,Guanine,C5H5N5O,[M+H]+,7.7,9.7,15,0.2,152.0567,152.0565,-1.2,S07369,8.83,8.76,9.04,0.28,120633.0,75179.0,39513.0,127172.0,101604.0,30493.0,12236,8173,3153,5874,7845,3705,0.840820021702442,1.1893151616148008,78441.66666666667,86423.0,-0.13979512294105076,0.9076480412235941,30493.0,82432.33333333334,0.0,5
58,Guanosine,C10H13N5O5,[M+H]+,7.7,9.7,15,0.2,284.0989,284.0986,-1.2,S07377,9.13,8.88,9.26,0.37,36227.0,18163.5,18163.5,19383.0,19002.0,19073.0,11705,2703,0,0,0,1919,0.45040633045220385,2.220217462299007,24184.666666666668,19152.666666666668,0.3365473778436853,1.262731038323645,18163.5,21668.666666666668,0.0,4
59,Guanosine diphosphate,C10H15N5O11P2,[M-H]-,13.8,15.8,15,0.2,442.0171,442.0167,-0.8,S07377,15.44,15.28,15.52,0.24,27276.5,27276.5,27276.5,27276.5,27276.5,27276.5,1661,1230,8327,2244,15356,5735,NA,NA,27276.5,27276.5,0.0,1.0,27276.5,27276.5,0.0,0
60,Guanosine monophosphate,C10H14N5O8P,[M+H]+,12.6,14.6,15,0.2,364.0653,364.06300000000005,-6.3,SQ437_B_0,13.81,13.78,13.93,0.14,70849.0,70849.0,70849.0,70849.0,70849.0,70849.0,71888,24110,8437,7448,7137,2678,NA,NA,70849.0,70849.0,0.0,1.0,70849.0,70849.0,0.0,0
61,Guanosine triphosphate,C10H16N5O14P3,[M-H]-,15.0,17.0,15,0.2,521.9834,521.9832,-0.4,S07377,16.99,16.91,16.99,0.08,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
62,Homocysteine,C4H9NO2S,[M-H]-,7.3,9.3,15,0.2,134.0281,134.0299,13.2,S07377,7.31,7.26,7.5,0.24,13124.5,13124.5,13124.5,13124.5,13124.5,13124.5,1432,0,1800,1538,0,1479,NA,NA,13124.5,13124.5,0.0,1.0,13124.5,13124.5,0.0,0
63,Hypotaurine,C2H7NO2S,[M+H]+,10.0,12.0,15,0.2,110.027,110.027,-0.2,S07376,11.44,11.28,11.45,0.18,1540328.0,2063176.0,2134152.0,2888307.0,2761540.0,2869088.0,29289,0,43388,0,44811,0,0.00836902398368513,119.48824641313435,1912552.0,2839645.0,-0.5702116080877192,0.6735179925659721,68744.0,2376098.5,422.0,6
64,Hypoxanthine,C5H4N4O,[M+H]+,5.8,7.8,15,0.2,137.0458,137.0455,-2.1,S07377,7.77,7.54,7.77,0.23,44214.0,50328.0,52494.0,143645.0,110414.0,127260.0,3061,2247,2518,2414,2860,1864,0.0014010856937853144,713.732218118864,49012.0,127106.33333333333,-1.3748289932124989,0.3855984097304357,17482.0,88059.16666666666,163.0,6
65,Inosine,C10H12N4O5,[M+H]+,6.4,8.4,15,0.2,269.08799999999997,269.0862,-6.9,S07370,7.84,7.64,7.97,0.33,28221.0,20413.0,31689.0,71759.0,90389.0,82399.0,0,0,0,0,0,0,0.0009913610879313977,1008.7141932175576,26774.333333333332,81515.66666666667,-1.6062267074897942,0.32845628856620607,10000.0,54145.0,166.0,6
66,Inosinic acid,C10H13N4O8P,[M+H]+,11.4,13.4,15,0.2,349.0544,349.0515,-8.3,S07370,12.62,12.59,12.8,0.21,10999.0,10999.0,10999.0,10999.0,10999.0,10999.0,0,0,1998,0,0,0,NA,NA,10999.0,10999.0,0.0,1.0,10999.0,10999.0,0.0,0
67,L-Acetylcarnitine,C9H17NO4,[M+H]+,6.3,8.3,15,0.2,204.123,204.1224,-3.1,S07377,7.79,7.56,7.92,0.36,1904316.0,1605797.0,2116200.0,3091527.0,3467962.0,3442797.0,16322,15263,10794,10643,11906,10072,0.0015954020508710746,626.8012501638752,1875437.6666666667,3334095.3333333335,-0.8300680431683739,0.5625027118800642,47500.0,2604766.5,2903.0,6
68,L-Alanine,C3H7NO2,[M+H]+,10.6,11.2,15,0.2,90.055,90.0552,2.7,S07372,11.19,11.09,11.2,0.11,250473056.0,279412736.0,280434912.0,235641888.0,236370800.0,247588784.0,12573427,165430,20016368,252924,8759799,239814,0.04570051096624742,21.881593418912978,270106901.3333333,239867157.33333334,0.1712948647063097,1.1260687137671668,21013881.0,254987029.3333333,6283.0,6
