,Metabolite,Formula,Ion Type,mz,ppm,RT,RT_range,Detection,T1,T2,T3,T4,T5,T6,TomminusDox_vs_TomplusDox_ttest_pval,TomminusDox_vs_TomplusDox_Log2FoldChange,TomminusDox_vs_TomplusDox_impact_score,TomplusDox_vs_TomminusDox_ttest_pval,TomplusDox_vs_TomminusDox_Log2FoldChange,TomplusDox_vs_TomminusDox_impact_score
55,Glycine,C2H5NO2,[M+H]+,76.0393,6.5,12.06,0.1,0,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
56,Guanidoacetic acid,C3H7N3O2,[M+H]+,118.0611,-0.9,12.15,0.08,6,81145176,86720456,91866688,84537864,81432536,89170800,0.7096108721406689,-0.02572966509305228,123.0,0.7096108721406689,0.02572966509305221,123.0
57,Guanine,C5H5N5O,[M+H]+,152.0567,-1.2,8.83,0.28,5,120633,75179,39513,127172,101604,-,0.840820021702442,0.13979512294105087,0.0,0.840820021702442,-0.13979512294105076,0.0
58,Guanosine,C10H13N5O5,[M+H]+,284.0989,-1.2,9.13,0.37,4,36227,-,-,19383,19002,19073,0.4504063304522039,-0.3365473778436855,0.0,0.4504063304522039,0.3365473778436853,0.0
59,Guanosine diphosphate,C10H15N5O11P2,[M-H]-,442.0171,-0.8,15.44,0.24,0,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
60,Guanosine monophosphate,C10H14N5O8P,[M+H]+,364.0653,-6.3,13.81,0.14,0,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
61,Guanosine triphosphate,C10H16N5O14P3,[M-H]-,521.9834,-0.4,16.99,0.08,0,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
62,Homocysteine,C4H9NO2S,[M-H]-,134.0281,13.2,7.31,0.24,0,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
63,Hypotaurine,C2H7NO2S,[M+H]+,110.027,-0.2,11.44,0.18,6,1540328,2063176,2134152,2888307,2761540,2869088,0.00836902398368513,0.5702116080877191,422.0,0.00836902398368513,-0.5702116080877192,422.0
64,Hypoxanthine,C5H4N4O,[M+H]+,137.0458,-2.1,7.77,0.23,6,44214,50328,52494,143645,110414,127260,0.0014010856937853144,1.3748289932124989,163.0,0.0014010856937853144,-1.3748289932124989,163.0
65,Inosine,C10H12N4O5,[M+H]+,269.08799999999997,-6.9,7.84,0.33,6,28221,20413,31689,71759,90389,82399,0.0009913610879313977,1.6062267074897942,166.0,0.0009913610879313977,-1.6062267074897942,166.0
66,Inosinic acid,C10H13N4O8P,[M+H]+,349.0544,-8.3,12.62,0.21,0,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
67,L-Acetylcarnitine,C9H17NO4,[M+H]+,204.123,-3.1,7.79,0.36,6,1904316,1605797,2116200,3091527,3467962,3442797,0.0015954020508710744,0.8300680431683738,2903.0,0.0015954020508710744,-0.8300680431683739,2903.0
68,L-Alanine,C3H7NO2,[M+H]+,90.055,2.7,11.19,0.11,6,250473056,279412736,280434912,235641888,236370800,247588784,0.04570051096624742,-0.1712948647063097,6283.0,0.04570051096624742,0.1712948647063097,6283.0
