Skeleton_Metabolite	Metabolite	Formula	Ion Type	RT Start (min)	RT End (min)	m/z Tolerance (ppm)	RT Tolerance (min)	mz	obs_mz	ppm	winner	RT	RT_min	RT_max	RT_range	detections	S10228	S10229	S10230	S10231	S10232	S10233	S10234	S10235	SQ567_Blank_0	SQ567_Blank_1	SQ567_Blank_2	SQ567_Blank_3	SQ567_Blank_4	SQ567_Blank_5	SQ567_ISTD_0	SQ567_ISTD_1	SQ567_ISTD_2
Guanosine	59         Guanosine	C10H13N5O5	[M+H]+	7.7	9.7	15.0	0.2	284.0989	284.0965	-8.6	SQ567_Blank_0	9.56	9.31	9.56	0.25	3	0	0	0	0	0	0	0	0	31896	1291	0	0	0	0	2771	0	0
Guanosine diphosphate	60         Guanosine diphosphate	C10H15N5O11P2	[M-H]-	13.8	15.8	15.0	0.2	442.0171	442.0135	-8.1	S10234	14.8	14.8	14.81	0.01	2	0	0	0	0	0	0	2950	0	0	0	0	0	0	0	0	2061	0
Guanosine monophosphate	61         Guanosine monophosphate	C10H14N5O8P	[M+H]+	12.6	14.6	15.0	0.2	364.0653	364.0618	-9.6	SQ567_Blank_0	12.75	12.75	13.0	0.25	4	0	0	0	0	0	0	0	1123	8457	0	0	0	0	0	1414	0	1052
Guanosine triphosphate	62         Guanosine triphosphate	C10H16N5O14P3	[M-H]-	15.0	17.0	15.0	0.2	521.9834	521.9783	-9.8	SQ567_Blank_2	16.37	16.37	16.37	0.0	1	0	0	0	0	0	0	0	0	0	0	1964	0	0	0	0	0	0
Homocysteine	63         Homocysteine	C4H9NO2S	[M-H]-	7.3	9.3	15.0	0.2	134.0281	134.0274	-5.4	S10228	8.47	8.38	8.47	0.09	8	131447	94934	124048	99257	8434	6740	9639	8986	0	0	0	0	0	0	0	0	0
Hypotaurine	64         Hypotaurine	C2H7NO2S	[M+H]+	10.0	12.0	15.0	0.2	110.027	110.0272	1.6	S10230	11.23	11.02	11.28	0.26	11	1677505	1543790	1937472	1895973	47490	121340	120376	142670	26658	0	3513	0	0	0	0	1380	0
Hypoxanthine	65         Hypoxanthine	C5H4N4O	[M+H]+	5.8	7.8	15.0	0.2	137.0458	137.0455	-2.1	S10230	7.0	6.76	7.09	0.33	17	292521088	260497904	294261792	274557696	11670470	14285507	14762492	17059372	1994354	37113	127399	17134	72001	17809	27457	13010	17911
Inosine	66         Inosine	C10H12N4O5	[M+H]+	6.4	8.4	15.0	0.2	269.08799999999997	269.0889	3.2	S10228	7.68	7.56	7.86	0.31	10	238052	193936	234481	203028	5186	14886	6622	14597	4353	1491	0	0	0	0	0	0	0
Inosinic acid	67         Inosinic acid	C10H13N4O8P	[M+H]+	11.4	13.4	15.0	0.2	349.0544	0.0	0.0		0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L-Acetylcarnitine	68         L-Acetylcarnitine	C9H17NO4	[M+H]+	6.3	8.3	15.0	0.2	204.123	204.1227	-1.6	S10230	7.66	7.44	7.78	0.33	17	115497200	86557000	118936520	96674080	9607087	10107523	10718598	11543983	33608	7144	51137	6603	30434	8109	8973	7312	6116
L-Alanine	69         L-Alanine	C3H7NO2	[M+H]+	10.6	11.2	15.0	0.2	90.055	90.0553	3.8	S10228	11.05	10.81	11.05	0.24	17	166562416	147670960	166316160	152463216	11527785	24690198	27270406	28413506	8815381	75710	1887541	74586	700459	55206	48029	88738	50321
L-Arginine	70         L-Arginine	C6H14N4O2	[M+H]+	18.5	21.0	15.0	0.2	175.11900000000003	175.1187	-1.4	S10228	20.27	20.23	20.47	0.25	17	19104958	14269178	17864554	18164972	5997068	10053198	10376518	9772261	17483712	2228441	6837401	2761309	4177740	2278900	8685235	4123558	2896667
L-Asparagine	71         L-Asparagine	C4H8N2O3	[M+H]+	10.3	12.3	15.0	0.2	133.0608	133.0606	-1.3	S10228	11.52	11.29	11.54	0.25	17	4338355	3142275	4013066	3765274	90567	245121	309706	307966	17461	2708	13478	2110	7997	2343	6437	5016	2608
L-Aspartic acid	72         L-Aspartic acid	C4H7NO4	[M-H]-	10.8	12.8	15.0	0.2	132.0302	132.0291	-8.6	S10230	11.69	11.44	11.8	0.35	17	13209552	10550244	13222512	11236272	547837	999722	1164335	1247020	64645	2427	49371	5735	15740	5326	2913	9663	5636
L-Carnitine	73         L-Carnitine	C7H16NO3	[Cat]+	8.3	10.3	15.0	0.2	162.1125	162.1122	-1.7	S10230	9.69	9.45	9.72	0.26	17	335746976	265286032	336823456	290538272	20960710	27360636	29599402	32378852	3492554	50897	985319	37349	542172	37603	25119	17567	11381
L-Cystathionine	74         L-Cystathionine	C7H14N2O4S	[M+H]+	12.2	14.2	15.0	0.2	223.0747	223.0743	-1.8	S10228	13.26	13.01	13.36	0.35	17	1848213	631105	1176666	909924	99316	205480	232983	289602	60208	1913	16219	1425	8125	1229	2155	1879	1579
L-Cysteine	75         L-Cysteine	C3H7NO2S	[M+H]+	13.0	17.0	15.0	0.2	122.027	122.0273	2.2	S10235	13.26	13.01	13.47	0.46	17	14036	11907	7156	10839	43953	27398	23559	49990	2339	1547	12275	2611	12515	2489	2343	5242	7298
L-Cystine	76         L-Cystine	C6H12N2O4S2	[M-H]-	11.7	13.7	15.0	0.2	239.0166	239.0155	-4.5	S10235	12.67	12.45	12.72	0.27	17	163068	130186	92632	103163	154773	136676	167628	218498	79024	21634	158243	65554	201135	47264	17563	95710	103188
L-Glutamic acid	77         L-Glutamic acid	C5H9NO4	[M+H]+	10.0	13.0	15.0	0.2	148.0604	148.0601	-2.3	S10228	11.5	11.33	11.61	0.27	17	240878544	193681200	230641072	205825984	34168508	42556112	50268896	51969196	3709638	123844	3522428	70392	1616106	78425	961356	168632	92178
L-Glutamine	78         L-Glutamine	C5H10N2O3	[M+H]+	10.1	12.1	15.0	0.2	147.0764	147.0761	-2.2	S10230	11.27	11.04	11.42	0.38	17	562710400	467413856	573554624	512134976	59641256	95418616	107622800	108998720	22057284	37951	8998240	131552	4154360	111612	25498	412543	155683
L-Histidine	79         L-Histidine	C6H9N3O2	[M+H]+	9.9	11.9	15.0	0.2	156.0768	156.0764	-2.3	S10228	10.8	10.56	10.86	0.3	17	117455392	99392072	117450080	106632160	16634672	27641110	31668638	31203492	19790684	250435	5305830	283705	2288426	193629	256511	579585	265142
L-Isoleucine	80         L-Isoleucine	C6H13NO2	[M+H]+	6.0	7.5	15.0	0.2	132.1019	132.1018	-0.8	S10230	7.44	7.32	7.45	0.13	17	201582288	159261392	210699152	161911056	29590378	30339730	31459448	35242372	4213472	163646	745950	82502	507437	96855	153913	78355	80582
L-Kynurenine	81         L-Kynurenine	C10H12N2O3	[M+H]+	6.0	8.0	15.0	0.2	209.0921	209.0917	-1.8	S10235	7.44	7.21	7.62	0.41	17	2277219	1650304	2492018	1802515	4697968	3990146	4193753	4719182	16498	2426	27663	2691	22177	1980	4192	3424	2366
L-Lactic acid	82         L-Lactic acid	C3H6O3	[M-H]-	6.2	8.2	15.0	0.2	89.0244	89.0231	-14.8	S10230	7.17	6.93	7.38	0.46	17	1133503232	943142464	1176138880	1009230272	34281528	36092692	37349224	40048740	860050	735700	1203930	840896	833675	683046	710636	747439	664702
L-Leucine	83         L-Leucine	C6H13NO2	[M+H]+	7.5	9.0	15.0	0.2	132.1019	132.1018	-0.8	S10230	7.48	7.45	7.73	0.28	17	205144528	159839664	206915968	172001136	28347634	31520728	32434184	33588448	4204922	178049	644664	85897	502541	80659	170095	82201	129941
L-Lysine	84         L-Lysine	C6H14N2O2	[M+H]+	18.0	20.0	15.0	0.2	147.1128	147.1125	-2.1	S10228	19.17	19.17	19.33	0.16	17	25753836	14632469	21553092	22536300	6598486	12078088	11720812	12746246	15438701	391922	3819403	648784	1394069	530327	4739724	1367219	825760
L-Malic acid	85         L-Malic acid	C4H6O5	[M-H]-	12.2	14.2	15.0	0.2	133.0142	133.013	-9.4	S10228	12.93	12.68	12.94	0.26	17	114020128	87612336	103835120	100563848	11160340	15399683	19893884	18255718	6033976	117630	3365680	359391	1527718	160352	57953	1407365	386942
L-Methionine	86         L-Methionine	C5H11NO2S	[M+H]+	6.8	8.8	15.0	0.2	150.0583	150.058	-2.2	S10230	8.1	7.86	8.13	0.27	17	60329688	48089616	60337672	54056068	4897543	5451610	5413209	6297262	357400	27625	68115	6509	33116	5105	31828	4850	4364
L-Phenylalanine	87         L-Phenylalanine	C9H11NO2	[M+H]+	5.6	7.6	15.0	0.2	166.0863	166.08599999999996	-1.5	S10230	6.95	6.7	7.16	0.46	17	211600800	176315120	221629232	192711312	23188768	22925712	24234962	26160704	285542	47671	254569	21213	156739	16957	51696	27007	32626
L-Proline	88         L-Proline	C5H9NO2	[M+H]+	7.9	9.9	15.0	0.2	116.0706	116.0707	0.8	S10230	9.23	8.98	9.24	0.26	17	611968576	523619776	614130432	532398784	53174788	70695608	74355704	81672480	18702126	404180	3074420	381930	1684989	352281	147070	230791	197441
